task,dataset,dataset_sha256,n_samples,n_features,seed,fold,projection_count,projected_columns,selection_seconds,feature_ranking
classification,wine,f559edb359a04d51531da5e80a499c8d7fde49233ffb9be8949f00ee36336b9e,178,13,4,4,10,20,0.14072299998952076,"[12, 10, 11, 9, 6, 0, 5, 8, 3, 4, 1, 7, 2]"
classification,wine,f559edb359a04d51531da5e80a499c8d7fde49233ffb9be8949f00ee36336b9e,178,13,4,4,20,40,0.4295386250014417,"[12, 10, 11, 9, 6, 0, 5, 8, 3, 4, 1, 7, 2]"
classification,wine,f559edb359a04d51531da5e80a499c8d7fde49233ffb9be8949f00ee36336b9e,178,13,4,4,40,80,1.545454625011189,"[12, 10, 11, 6, 9, 0, 5, 8, 3, 1, 4, 7, 2]"
classification,glass,8f6eea990c4fdc7bcc55a2bd26743435287d88d3f49b60dd4a8dd68dc931d9de,214,10,0,0,5,10,0.1017759580136044,"[0, 8, 4, 2, 3, 6, 7, 5, 1, 9]"
classification,glass,8f6eea990c4fdc7bcc55a2bd26743435287d88d3f49b60dd4a8dd68dc931d9de,214,10,0,0,10,20,0.25697166701138485,"[0, 8, 2, 4, 3, 6, 7, 5, 1, 9]"
classification,glass,8f6eea990c4fdc7bcc55a2bd26743435287d88d3f49b60dd4a8dd68dc931d9de,214,10,0,0,20,40,0.7933365000062622,"[0, 8, 2, 4, 3, 6, 7, 5, 1, 9]"
classification,glass,8f6eea990c4fdc7bcc55a2bd26743435287d88d3f49b60dd4a8dd68dc931d9de,214,10,0,0,40,80,2.699312791999546,"[0, 8, 2, 4, 3, 6, 7, 5, 1, 9]"
classification,glass,8f6eea990c4fdc7bcc55a2bd26743435287d88d3f49b60dd4a8dd68dc931d9de,214,10,0,1,5,10,0.11093175000860356,"[0, 8, 4, 2, 3, 7, 5, 6, 1, 9]"
classification,glass,8f6eea990c4fdc7bcc55a2bd26743435287d88d3f49b60dd4a8dd68dc931d9de,214,10,0,1,10,20,0.25955145800253376,"[0, 8, 4, 2, 3, 6, 7, 5, 1, 9]"
classification,glass,8f6eea990c4fdc7bcc55a2bd26743435287d88d3f49b60dd4a8dd68dc931d9de,214,10,0,1,20,40,0.8067122919892427,"[0, 8, 2, 4, 3, 6, 7, 5, 1, 9]"
classification,glass,8f6eea990c4fdc7bcc55a2bd26743435287d88d3f49b60dd4a8dd68dc931d9de,214,10,0,1,40,80,2.788028666996979,"[0, 8, 4, 2, 3, 6, 7, 5, 1, 9]"
classification,glass,8f6eea990c4fdc7bcc55a2bd26743435287d88d3f49b60dd4a8dd68dc931d9de,214,10,0,2,5,10,0.11596399999689311,"[0, 8, 4, 3, 2, 6, 7, 5, 1, 9]"
classification,glass,8f6eea990c4fdc7bcc55a2bd26743435287d88d3f49b60dd4a8dd68dc931d9de,214,10,0,2,10,20,0.2727909999957774,"[0, 8, 4, 3, 2, 6, 7, 5, 1, 9]"
classification,glass,8f6eea990c4fdc7bcc55a2bd26743435287d88d3f49b60dd4a8dd68dc931d9de,214,10,0,2,20,40,0.8415361660008784,"[0, 8, 2, 4, 3, 6, 7, 5, 1, 9]"
classification,glass,8f6eea990c4fdc7bcc55a2bd26743435287d88d3f49b60dd4a8dd68dc931d9de,214,10,0,2,40,80,3.781185666011879,"[0, 8, 2, 4, 3, 6, 7, 5, 1, 9]"
classification,glass,8f6eea990c4fdc7bcc55a2bd26743435287d88d3f49b60dd4a8dd68dc931d9de,214,10,0,3,5,10,0.12188208299630787,"[0, 8, 2, 4, 3, 7, 5, 6, 1, 9]"
classification,glass,8f6eea990c4fdc7bcc55a2bd26743435287d88d3f49b60dd4a8dd68dc931d9de,214,10,0,3,10,20,0.33190808299696073,"[0, 8, 2, 4, 3, 7, 5, 6, 1, 9]"
classification,glass,8f6eea990c4fdc7bcc55a2bd26743435287d88d3f49b60dd4a8dd68dc931d9de,214,10,0,3,20,40,0.9694454160053283,"[0, 8, 2, 4, 3, 6, 7, 5, 1, 9]"
classification,glass,8f6eea990c4fdc7bcc55a2bd26743435287d88d3f49b60dd4a8dd68dc931d9de,214,10,0,3,40,80,2.9755333329958376,"[0, 8, 2, 4, 3, 6, 7, 5, 1, 9]"
classification,glass,8f6eea990c4fdc7bcc55a2bd26743435287d88d3f49b60dd4a8dd68dc931d9de,214,10,0,4,5,10,0.11092054200707935,"[0, 8, 4, 2, 6, 3, 5, 7, 1, 9]"
classification,glass,8f6eea990c4fdc7bcc55a2bd26743435287d88d3f49b60dd4a8dd68dc931d9de,214,10,0,4,10,20,0.27466079099394847,"[8, 0, 4, 2, 6, 3, 5, 7, 1, 9]"
classification,glass,8f6eea990c4fdc7bcc55a2bd26743435287d88d3f49b60dd4a8dd68dc931d9de,214,10,0,4,20,40,0.7963630409940379,"[8, 0, 2, 4, 3, 6, 5, 7, 1, 9]"
classification,glass,8f6eea990c4fdc7bcc55a2bd26743435287d88d3f49b60dd4a8dd68dc931d9de,214,10,0,4,40,80,2.979916875003255,"[8, 0, 4, 2, 6, 3, 5, 7, 1, 9]"
classification,glass,8f6eea990c4fdc7bcc55a2bd26743435287d88d3f49b60dd4a8dd68dc931d9de,214,10,1,0,5,10,0.11100112499843817,"[0, 8, 4, 2, 3, 6, 1, 7, 9, 5]"
classification,glass,8f6eea990c4fdc7bcc55a2bd26743435287d88d3f49b60dd4a8dd68dc931d9de,214,10,1,0,10,20,0.2828339580009924,"[0, 8, 4, 2, 3, 6, 1, 7, 9, 5]"
classification,glass,8f6eea990c4fdc7bcc55a2bd26743435287d88d3f49b60dd4a8dd68dc931d9de,214,10,1,0,20,40,0.8568261250038631,"[0, 8, 4, 2, 3, 6, 1, 7, 5, 9]"
classification,glass,8f6eea990c4fdc7bcc55a2bd26743435287d88d3f49b60dd4a8dd68dc931d9de,214,10,1,0,40,80,2.98767079100071,"[0, 8, 4, 2, 3, 6, 7, 1, 5, 9]"
classification,glass,8f6eea990c4fdc7bcc55a2bd26743435287d88d3f49b60dd4a8dd68dc931d9de,214,10,1,1,5,10,0.11006012500729412,"[0, 8, 4, 2, 3, 7, 5, 6, 1, 9]"
classification,glass,8f6eea990c4fdc7bcc55a2bd26743435287d88d3f49b60dd4a8dd68dc931d9de,214,10,1,1,10,20,0.2698068329918897,"[0, 8, 4, 3, 2, 6, 7, 5, 1, 9]"
