task,dataset,seed,fold,projection_count,projected_columns,k,n_features_selected,downstream_model,accuracy,f1,f1_macro,balanced_accuracy,roc_auc,auc
classification,wine,0,2,5,10,5,5,lr,0.9722222222222222,0.972097284690988,0.9740129935032483,0.9722222222222222,1.0,1.0
classification,wine,0,2,5,10,5,5,svm,1.0,1.0,1.0,1.0,1.0,1.0
classification,wine,0,2,5,10,5,5,knn,0.9722222222222222,0.9722633744855966,0.974320987654321,0.9761904761904763,1.0,1.0
classification,wine,0,2,5,10,10,10,lr,1.0,1.0,1.0,1.0,1.0,1.0
classification,wine,0,2,5,10,10,10,svm,0.9444444444444444,0.9432098765432099,0.9407407407407407,0.9333333333333332,1.0,1.0
classification,wine,0,2,5,10,10,10,knn,1.0,1.0,1.0,1.0,1.0,1.0
classification,wine,0,2,5,10,13,13,lr,0.9722222222222222,0.9719701552732407,0.9709618874773139,0.9666666666666667,1.0,1.0
classification,wine,0,2,5,10,13,13,svm,0.9722222222222222,0.9719701552732407,0.9709618874773139,0.9666666666666667,1.0,1.0
classification,wine,0,2,5,10,13,13,knn,0.9722222222222222,0.9719701552732407,0.9709618874773139,0.9666666666666667,1.0,1.0
classification,wine,0,2,10,20,5,5,lr,0.9722222222222222,0.972097284690988,0.9740129935032483,0.9722222222222222,1.0,1.0
classification,wine,0,2,10,20,5,5,svm,1.0,1.0,1.0,1.0,1.0,1.0
classification,wine,0,2,10,20,5,5,knn,0.9722222222222222,0.9722633744855966,0.974320987654321,0.9761904761904763,1.0,1.0
classification,wine,0,2,10,20,10,10,lr,0.9722222222222222,0.9719701552732407,0.9709618874773139,0.9666666666666667,1.0,1.0
classification,wine,0,2,10,20,10,10,svm,0.9722222222222222,0.9719701552732407,0.9709618874773139,0.9666666666666667,0.9974747474747474,0.9974747474747474
classification,wine,0,2,10,20,10,10,knn,0.9722222222222222,0.9722633744855966,0.974320987654321,0.9761904761904763,0.9987373737373737,0.9987373737373737
classification,wine,0,2,10,20,13,13,lr,0.9722222222222222,0.9719701552732407,0.9709618874773139,0.9666666666666667,1.0,1.0
classification,wine,0,2,10,20,13,13,svm,0.9722222222222222,0.9719701552732407,0.9709618874773139,0.9666666666666667,1.0,1.0
classification,wine,0,2,10,20,13,13,knn,0.9722222222222222,0.9719701552732407,0.9709618874773139,0.9666666666666667,1.0,1.0
classification,wine,0,2,20,40,5,5,lr,0.9722222222222222,0.9722633744855966,0.974320987654321,0.9761904761904763,0.9926346801346801,0.9926346801346801
classification,wine,0,2,20,40,5,5,svm,1.0,1.0,1.0,1.0,1.0,1.0
classification,wine,0,2,20,40,5,5,knn,0.9722222222222222,0.9722633744855966,0.974320987654321,0.9761904761904763,0.9975799663299664,0.9975799663299664
classification,wine,0,2,20,40,10,10,lr,1.0,1.0,1.0,1.0,1.0,1.0
classification,wine,0,2,20,40,10,10,svm,0.9444444444444444,0.9432098765432099,0.9407407407407407,0.9333333333333332,1.0,1.0
classification,wine,0,2,20,40,10,10,knn,1.0,1.0,1.0,1.0,1.0,1.0
classification,wine,0,2,20,40,13,13,lr,0.9722222222222222,0.9719701552732407,0.9709618874773139,0.9666666666666667,1.0,1.0
classification,wine,0,2,20,40,13,13,svm,0.9722222222222222,0.9719701552732407,0.9709618874773139,0.9666666666666667,1.0,1.0
classification,wine,0,2,20,40,13,13,knn,0.9722222222222222,0.9719701552732407,0.9709618874773139,0.9666666666666667,1.0,1.0
classification,wine,0,2,40,80,5,5,lr,0.9722222222222222,0.9722633744855966,0.974320987654321,0.9761904761904763,0.9926346801346801,0.9926346801346801
classification,wine,0,2,40,80,5,5,svm,1.0,1.0,1.0,1.0,1.0,1.0
classification,wine,0,2,40,80,5,5,knn,0.9722222222222222,0.9722633744855966,0.974320987654321,0.9761904761904763,0.9975799663299664,0.9975799663299664
classification,wine,0,2,40,80,10,10,lr,0.9722222222222222,0.9719701552732407,0.9709618874773139,0.9666666666666667,1.0,1.0
classification,wine,0,2,40,80,10,10,svm,0.9722222222222222,0.9719701552732407,0.9709618874773139,0.9666666666666667,0.9974747474747474,0.9974747474747474
classification,wine,0,2,40,80,10,10,knn,0.9722222222222222,0.9722633744855966,0.974320987654321,0.9761904761904763,0.9987373737373737,0.9987373737373737
classification,wine,0,2,40,80,13,13,lr,0.9722222222222222,0.9719701552732407,0.9709618874773139,0.9666666666666667,1.0,1.0
classification,wine,0,2,40,80,13,13,svm,0.9722222222222222,0.9719701552732407,0.9709618874773139,0.9666666666666667,1.0,1.0
classification,wine,0,2,40,80,13,13,knn,0.9722222222222222,0.9719701552732407,0.9709618874773139,0.9666666666666667,1.0,1.0
classification,wine,0,3,5,10,5,5,lr,0.9714285714285714,0.9714708994708994,0.974320987654321,0.9761904761904763,1.0,1.0
classification,wine,0,3,5,10,5,5,svm,0.9142857142857143,0.9120925390399074,0.9168151147098516,0.9285714285714285,1.0,1.0
