task,focus_method,baseline,dataset,n_cells,mean_delta,median_delta,min_delta,max_delta,win_share,nonloss_share
classification,cif,lgbm,TOX_171,15,-0.0693121693121693,-0.06128968253968248,-0.13371031746031747,-0.022023809523809668,0.0,0.0
classification,cif,pi,warpAR10P,15,0.3073777777777778,0.3193333333333333,0.18066666666666664,0.3893333333333334,1.0,1.0
classification,cif,pi,orlraws10P,15,0.22680000000000003,0.248,0.1260000000000001,0.3379999999999999,1.0,1.0
classification,cif,pi,ALLAML,15,0.21902222222222226,0.20266666666666666,0.12666666666666648,0.2997777777777778,1.0,1.0
classification,cif,pi,pixraw10P,15,0.15973333333333334,0.18600000000000017,0.026000000000000023,0.258,1.0,1.0
classification,cif,pi,CLL_SUB_111,15,0.1437405162738496,0.13108417508417514,0.07757575757575774,0.21897643097643094,1.0,1.0
classification,cif,pi,Yale,15,0.12814814814814815,0.13466666666666666,0.06711111111111112,0.1751111111111111,1.0,1.0
classification,cif,pi,warpPIE10P,15,0.07898666666666666,0.07120000000000004,0.025999999999999912,0.16180000000000005,1.0,1.0
classification,cif,pi,ORL,15,0.06593333333333336,0.0655,0.03049999999999997,0.119,1.0,1.0
classification,cif,pi,TOX_171,15,0.057775132275132236,0.04761904761904756,0.01375000000000004,0.11880952380952381,1.0,1.0
classification,cif,pi,arcene,15,0.047284511784511755,0.04858585858585851,0.0024999999999999467,0.09063131313131301,1.0,1.0
classification,cif,pi,madelon,15,0.046299999999999994,0.05790000000000006,-0.005800000000000027,0.11009999999999986,0.8666666666666667,0.8666666666666667
classification,cif,pi,gisette,15,0.030273333333333367,0.015933333333333355,0.004766666666666697,0.07913333333333339,1.0,1.0
classification,cif,pi,musk,15,0.01825999838938892,0.011006232446947983,-0.01843723121681551,0.0786116394263785,0.6,0.6
classification,cif,pi,page-blocks,6,0.009595628277472013,0.006581409708935559,-8.138351983655312e-06,0.02655795754405077,0.5,0.8333333333333334
classification,cif,pi,wine,6,0.005934744268077645,0.007793650793650908,-0.005296777296777244,0.012783068783068785,0.8333333333333334,0.8333333333333334
classification,cif,pi,vowel-context,6,0.0005387205387205422,0.0,-0.020000000000000018,0.024040404040404084,0.16666666666666666,0.6666666666666666
classification,cif,pi,gamma,3,-4.8548681364687006e-05,-0.0025004229405616307,-0.004766736620671841,0.007121513517139411,0.3333333333333333,0.3333333333333333
classification,cif,pi,glass,6,-0.001846560846560837,0.0,-0.02186507936507931,0.012523809523809493,0.16666666666666666,0.6666666666666666
classification,cif,pi,spam,12,-0.0024287192323120266,0.004932725939098548,-0.0744442693413715,0.018268625862266186,0.8333333333333334,0.8333333333333334
classification,cif,pi,isolet,15,-0.0045970447631464816,0.010475445458496324,-0.1031434159061278,0.07188048674489356,0.6,0.6
classification,cif,pi,letter,6,-0.008761974397365832,-0.000151271078339843,-0.03472866510443462,0.0005575020306187728,0.3333333333333333,0.3333333333333333
classification,cif,pi,pendigits,6,-0.016454578761645244,-0.008418986522175098,-0.06187380435299328,0.0006977415327611425,0.16666666666666666,0.16666666666666666
classification,cif,ptest_mc,orlraws10P,15,0.18760000000000002,0.24,0.062000000000000055,0.278,1.0,1.0
classification,cif,ptest_mc,ORL,15,0.17476666666666668,0.176,0.03149999999999997,0.39149999999999996,1.0,1.0
classification,cif,ptest_mc,warpAR10P,15,0.16484444444444443,0.15266666666666662,0.07266666666666666,0.274,1.0,1.0
classification,cif,ptest_mc,isolet,15,0.08654674779081556,0.06888917861799221,0.013968709256844791,0.15296653628857015,1.0,1.0
classification,cif,ptest_mc,pixraw10P,15,0.06506666666666668,0.05400000000000005,0.016000000000000014,0.18799999999999994,1.0,1.0
classification,cif,ptest_mc,Yale,15,0.057925925925925964,0.05466666666666664,0.029777777777777792,0.10800000000000004,1.0,1.0
classification,cif,ptest_mc,CLL_SUB_111,15,0.05767811447811446,0.04736700336700328,0.004875420875420922,0.16113131313131313,1.0,1.0
classification,cif,ptest_mc,letter,6,0.045483562886864705,0.012626392043641965,-0.004562817325052815,0.1421969465467976,0.8333333333333334,0.8333333333333334
classification,cif,ptest_mc,madelon,15,0.03320666666666669,0.036800000000000055,-0.023500000000000076,0.08820000000000006,0.8,0.8
classification,cif,ptest_mc,warpPIE10P,15,0.027906666666666666,0.021600000000000064,0.0005999999999998229,0.07480000000000009,1.0,1.0
classification,cif,ptest_mc,pendigits,6,0.020992445988908186,0.019735483160335077,0.006572970744144091,0.0380119362658099,1.0,1.0
classification,cif,ptest_mc,TOX_171,15,0.01831613756613756,0.0332539682539682,-0.06464285714285711,0.06982142857142848,0.7333333333333333,0.7333333333333333
classification,cif,ptest_mc,spam,12,0.0142580952199379,0.011831832270055631,-0.0158607648423309,0.041165395414272665,0.9166666666666666,0.9166666666666666
classification,cif,ptest_mc,arcene,15,0.014011784511784501,0.010202020202020212,-0.02381313131313134,0.05974747474747477,0.8,0.8
classification,cif,ptest_mc,gisette,15,0.009846666666666693,0.01419999999999999,-0.010366666666666635,0.022866666666666702,0.8,0.8
classification,cif,ptest_mc,musk,15,0.007681774529920685,0.005763084776417626,-0.015828467271171265,0.03163021312940395,0.6666666666666666,0.6666666666666666
classification,cif,ptest_mc,gamma,3,0.005028492327791419,0.005590510011585836,0.003751175545788743,0.005743791425999678,1.0,1.0
