study,dataset,task,kind,design_family,n_samples,n_features,n_informative,informative_fraction,dataset_seed,method,seed,n_splits,n_true_split_events,n_noise_split_events,distinct_noise_features_used,informative_indices
single_tree_split_counts,make_classification_n250_p1000_i2,classification,easy_shuffled_classification,vary_dimension_fixed_signal,250,1000,2,0.002,25718,cit,4,1,1,0,0,"441,267"
single_tree_split_counts,make_classification_n250_p1000_i2,classification,easy_shuffled_classification,vary_dimension_fixed_signal,250,1000,2,0.002,25718,dt,0,1,1,0,0,"441,267"
single_tree_split_counts,make_classification_n250_p1000_i2,classification,easy_shuffled_classification,vary_dimension_fixed_signal,250,1000,2,0.002,25718,dt,1,1,1,0,0,"441,267"
single_tree_split_counts,make_classification_n250_p1000_i2,classification,easy_shuffled_classification,vary_dimension_fixed_signal,250,1000,2,0.002,25718,dt,2,1,1,0,0,"441,267"
single_tree_split_counts,make_classification_n250_p1000_i2,classification,easy_shuffled_classification,vary_dimension_fixed_signal,250,1000,2,0.002,25718,dt,3,1,1,0,0,"441,267"
single_tree_split_counts,make_classification_n250_p1000_i2,classification,easy_shuffled_classification,vary_dimension_fixed_signal,250,1000,2,0.002,25718,dt,4,1,1,0,0,"441,267"
single_tree_split_counts,make_classification_n250_p1000_i2,classification,easy_shuffled_classification,vary_dimension_fixed_signal,250,1000,2,0.002,25718,rt,0,63,0,63,60,"441,267"
single_tree_split_counts,make_classification_n250_p1000_i2,classification,easy_shuffled_classification,vary_dimension_fixed_signal,250,1000,2,0.002,25718,rt,1,61,2,59,58,"441,267"
single_tree_split_counts,make_classification_n250_p1000_i2,classification,easy_shuffled_classification,vary_dimension_fixed_signal,250,1000,2,0.002,25718,rt,2,67,1,66,60,"441,267"
single_tree_split_counts,make_classification_n250_p1000_i2,classification,easy_shuffled_classification,vary_dimension_fixed_signal,250,1000,2,0.002,25718,rt,3,61,1,60,60,"441,267"
single_tree_split_counts,make_classification_n250_p1000_i2,classification,easy_shuffled_classification,vary_dimension_fixed_signal,250,1000,2,0.002,25718,rt,4,66,2,64,62,"441,267"
single_tree_split_counts,make_classification_n250_p100_i5,classification,easy_shuffled_classification,vary_dimension_fixed_signal,250,100,5,0.05,54818,cit,0,3,3,0,0,"39,44,5,91,37"
single_tree_split_counts,make_classification_n250_p100_i5,classification,easy_shuffled_classification,vary_dimension_fixed_signal,250,100,5,0.05,54818,cit,1,3,3,0,0,"39,44,5,91,37"
single_tree_split_counts,make_classification_n250_p100_i5,classification,easy_shuffled_classification,vary_dimension_fixed_signal,250,100,5,0.05,54818,cit,2,2,2,0,0,"39,44,5,91,37"
single_tree_split_counts,make_classification_n250_p100_i5,classification,easy_shuffled_classification,vary_dimension_fixed_signal,250,100,5,0.05,54818,cit,3,3,3,0,0,"39,44,5,91,37"
single_tree_split_counts,make_classification_n250_p100_i5,classification,easy_shuffled_classification,vary_dimension_fixed_signal,250,100,5,0.05,54818,cit,4,3,3,0,0,"39,44,5,91,37"
single_tree_split_counts,make_classification_n250_p100_i5,classification,easy_shuffled_classification,vary_dimension_fixed_signal,250,100,5,0.05,54818,dt,0,9,3,6,6,"39,44,5,91,37"
single_tree_split_counts,make_classification_n250_p100_i5,classification,easy_shuffled_classification,vary_dimension_fixed_signal,250,100,5,0.05,54818,dt,1,9,3,6,6,"39,44,5,91,37"
single_tree_split_counts,make_classification_n250_p100_i5,classification,easy_shuffled_classification,vary_dimension_fixed_signal,250,100,5,0.05,54818,dt,2,9,4,5,5,"39,44,5,91,37"
single_tree_split_counts,make_classification_n250_p100_i5,classification,easy_shuffled_classification,vary_dimension_fixed_signal,250,100,5,0.05,54818,dt,3,9,3,6,5,"39,44,5,91,37"
single_tree_split_counts,make_classification_n250_p100_i5,classification,easy_shuffled_classification,vary_dimension_fixed_signal,250,100,5,0.05,54818,dt,4,9,3,6,6,"39,44,5,91,37"
single_tree_split_counts,make_classification_n250_p100_i5,classification,easy_shuffled_classification,vary_dimension_fixed_signal,250,100,5,0.05,54818,rt,0,73,6,67,47,"39,44,5,91,37"
single_tree_split_counts,make_classification_n250_p100_i5,classification,easy_shuffled_classification,vary_dimension_fixed_signal,250,100,5,0.05,54818,rt,1,63,10,53,37,"39,44,5,91,37"
single_tree_split_counts,make_classification_n250_p100_i5,classification,easy_shuffled_classification,vary_dimension_fixed_signal,250,100,5,0.05,54818,rt,2,66,7,59,46,"39,44,5,91,37"
single_tree_split_counts,make_classification_n250_p100_i5,classification,easy_shuffled_classification,vary_dimension_fixed_signal,250,100,5,0.05,54818,rt,3,77,12,65,46,"39,44,5,91,37"
single_tree_split_counts,make_classification_n250_p100_i5,classification,easy_shuffled_classification,vary_dimension_fixed_signal,250,100,5,0.05,54818,rt,4,74,9,65,45,"39,44,5,91,37"
single_tree_split_counts,make_classification_n250_p500_i5,classification,easy_shuffled_classification,vary_dimension_fixed_signal,250,500,5,0.01,55218,cit,0,4,4,0,0,"392,449,474,302,384"
single_tree_split_counts,make_classification_n250_p500_i5,classification,easy_shuffled_classification,vary_dimension_fixed_signal,250,500,5,0.01,55218,cit,1,4,4,0,0,"392,449,474,302,384"
single_tree_split_counts,make_classification_n250_p500_i5,classification,easy_shuffled_classification,vary_dimension_fixed_signal,250,500,5,0.01,55218,cit,2,4,4,0,0,"392,449,474,302,384"
single_tree_split_counts,make_classification_n250_p500_i5,classification,easy_shuffled_classification,vary_dimension_fixed_signal,250,500,5,0.01,55218,cit,3,4,4,0,0,"392,449,474,302,384"
single_tree_split_counts,make_classification_n250_p500_i5,classification,easy_shuffled_classification,vary_dimension_fixed_signal,250,500,5,0.01,55218,cit,4,4,4,0,0,"392,449,474,302,384"
single_tree_split_counts,make_classification_n250_p500_i5,classification,easy_shuffled_classification,vary_dimension_fixed_signal,250,500,5,0.01,55218,dt,0,7,4,3,3,"392,449,474,302,384"
