task,k,method_base,method_id,n_datasets,n_cells,mean_score_minus_endpoint,median_score_minus_endpoint,support_type
regression,50,r_cforest,r_cforest__37be32340835a93b,6,18,0.0219009632115476,0.006816714560755964,dataset_downstream_mean_over_high_p_with_endpoint
regression,50,r_ctree,r_ctree__b6e09ceb0eb26367,6,18,-0.1357564280141225,0.011702761812972346,dataset_downstream_mean_over_high_p_with_endpoint
regression,50,rf,rf__aed17443e3db937d,6,18,0.349486934311682,0.09004897800589436,dataset_downstream_mean_over_high_p_with_endpoint
regression,50,rfe,rfe__99914b932bd37a50,6,18,0.0807154044283813,0.0697044842801882,dataset_downstream_mean_over_high_p_with_endpoint
regression,50,xgb,xgb__c2661145d45caaf6,6,18,0.1848204966924777,0.0725922016339142,dataset_downstream_mean_over_high_p_with_endpoint
regression,100,boruta,boruta__7f986516a1727870,6,18,0.3277843774041811,0.16401425696570224,dataset_downstream_mean_over_high_p_with_endpoint
regression,100,cat,cat__024a0842d4337711,6,18,0.18344742455380217,0.14523787455486736,dataset_downstream_mean_over_high_p_with_endpoint
regression,100,cif,cif__a01a3672a449d400,6,18,0.30843007151887897,0.06383404176007265,dataset_downstream_mean_over_high_p_with_endpoint
regression,100,cit,cit__2cd925b5323e9208,6,18,-0.22869397879270373,0.018651133811437445,dataset_downstream_mean_over_high_p_with_endpoint
regression,100,cpi,cpi__6e89acc5e72da5a8,6,18,-0.40011559680866327,0.0011200744346753846,dataset_downstream_mean_over_high_p_with_endpoint
regression,100,et,et__f09eb85fc7f75870,6,18,0.34680845657461856,0.24735358497776005,dataset_downstream_mean_over_high_p_with_endpoint
regression,100,lgbm,lgbm__71ba9ba402678146,6,18,-0.1629044570194443,0.007623076002596513,dataset_downstream_mean_over_high_p_with_endpoint
regression,100,pi,pi__6e89acc5e72da5a8,6,18,-0.009450598689589123,0.022344108524881195,dataset_downstream_mean_over_high_p_with_endpoint
regression,100,ptest_dc,ptest_dc__307d6fc3284c28e2,6,18,0.17665378685864216,0.04510207146661661,dataset_downstream_mean_over_high_p_with_endpoint
regression,100,ptest_pc,ptest_pc__307d6fc3284c28e2,6,18,0.25590794761135494,0.04440662095624322,dataset_downstream_mean_over_high_p_with_endpoint
regression,100,ptest_rdc,ptest_rdc__307d6fc3284c28e2,6,18,0.16841625905061888,0.03910116718825164,dataset_downstream_mean_over_high_p_with_endpoint
regression,100,r_cforest,r_cforest__37be32340835a93b,6,18,0.002005268110763925,0.0005524159930777872,dataset_downstream_mean_over_high_p_with_endpoint
regression,100,r_ctree,r_ctree__b6e09ceb0eb26367,6,18,-0.011319392330244104,0.0020203051573516317,dataset_downstream_mean_over_high_p_with_endpoint
regression,100,rf,rf__aed17443e3db937d,6,18,0.3338465034287394,0.1709532097651846,dataset_downstream_mean_over_high_p_with_endpoint
regression,100,rfe,rfe__99914b932bd37a50,6,18,0.026424283930106852,0.015342932700417887,dataset_downstream_mean_over_high_p_with_endpoint
regression,100,xgb,xgb__c2661145d45caaf6,6,18,0.0655004525370872,0.03414124651027593,dataset_downstream_mean_over_high_p_with_endpoint
