task,dataset,downstream_model,method_base,method_id,k,endpoint_k,dataset_mean_score,endpoint_score,score_minus_endpoint,is_standard_k,is_endpoint,is_best_over_observed_k
classification,ALLAML,knn,cpi,cpi__6e89acc5e72da5a8,7129,7129,0.7575555555555556,0.7575555555555556,0.0,False,True,True
classification,ALLAML,knn,et,et__f5580a1865f967c8,5,7129,0.8751111111111111,0.7575555555555556,0.11755555555555541,True,False,False
classification,ALLAML,knn,et,et__f5580a1865f967c8,10,7129,0.9064444444444445,0.7575555555555556,0.14888888888888885,True,False,False
classification,ALLAML,knn,et,et__f5580a1865f967c8,25,7129,0.9468888888888888,0.7575555555555556,0.18933333333333313,True,False,False
classification,ALLAML,knn,et,et__f5580a1865f967c8,50,7129,0.9508888888888889,0.7575555555555556,0.19333333333333325,True,False,False
classification,ALLAML,knn,et,et__f5580a1865f967c8,100,7129,0.9675555555555556,0.7575555555555556,0.20999999999999996,True,False,True
classification,ALLAML,knn,et,et__f5580a1865f967c8,150,7129,0.956,0.7575555555555556,0.1984444444444443,False,False,False
classification,ALLAML,knn,et,et__f5580a1865f967c8,200,7129,0.948,0.7575555555555556,0.1904444444444443,False,False,False
classification,ALLAML,knn,et,et__f5580a1865f967c8,300,7129,0.9279999999999999,0.7575555555555556,0.1704444444444443,False,False,False
classification,ALLAML,knn,et,et__f5580a1865f967c8,500,7129,0.8977777777777777,0.7575555555555556,0.14022222222222203,False,False,False
classification,ALLAML,knn,et,et__f5580a1865f967c8,750,7129,0.8795555555555555,0.7575555555555556,0.12199999999999989,False,False,False
classification,ALLAML,knn,et,et__f5580a1865f967c8,1000,7129,0.8513333333333334,0.7575555555555556,0.09377777777777774,False,False,False
classification,ALLAML,knn,et,et__f5580a1865f967c8,1783,7129,0.8273333333333334,0.7575555555555556,0.06977777777777772,False,False,False
classification,ALLAML,knn,et,et__f5580a1865f967c8,3565,7129,0.7857777777777778,0.7575555555555556,0.02822222222222215,False,False,False
classification,ALLAML,knn,et,et__f5580a1865f967c8,5347,7129,0.7655555555555555,0.7575555555555556,0.007999999999999896,False,False,False
classification,ALLAML,knn,et,et__f5580a1865f967c8,7129,7129,0.7575555555555556,0.7575555555555556,0.0,False,True,False
classification,ALLAML,knn,lgbm,lgbm__71ba9ba402678146,5,7129,0.9242222222222222,0.7575555555555556,0.16666666666666652,True,False,False
classification,ALLAML,knn,lgbm,lgbm__71ba9ba402678146,10,7129,0.9322222222222223,0.7575555555555556,0.17466666666666664,True,False,True
classification,ALLAML,knn,lgbm,lgbm__71ba9ba402678146,25,7129,0.9311111111111111,0.7575555555555556,0.17355555555555546,True,False,False
classification,ALLAML,knn,lgbm,lgbm__71ba9ba402678146,50,7129,0.8993333333333333,0.7575555555555556,0.14177777777777767,True,False,False
classification,ALLAML,knn,lgbm,lgbm__71ba9ba402678146,100,7129,0.8640000000000001,0.7575555555555556,0.10644444444444445,True,False,False
classification,ALLAML,knn,lgbm,lgbm__71ba9ba402678146,150,7129,0.846,0.7575555555555556,0.08844444444444433,False,False,False
classification,ALLAML,knn,lgbm,lgbm__71ba9ba402678146,200,7129,0.8115555555555555,0.7575555555555556,0.053999999999999826,False,False,False
classification,ALLAML,knn,lgbm,lgbm__71ba9ba402678146,300,7129,0.8155555555555556,0.7575555555555556,0.05799999999999994,False,False,False
classification,ALLAML,knn,lgbm,lgbm__71ba9ba402678146,500,7129,0.7875555555555556,0.7575555555555556,0.029999999999999916,False,False,False
classification,ALLAML,knn,lgbm,lgbm__71ba9ba402678146,750,7129,0.8055555555555556,0.7575555555555556,0.04799999999999993,False,False,False
classification,ALLAML,knn,lgbm,lgbm__71ba9ba402678146,1000,7129,0.8157777777777778,0.7575555555555556,0.058222222222222175,False,False,False
classification,ALLAML,knn,lgbm,lgbm__71ba9ba402678146,1783,7129,0.7695555555555557,0.7575555555555556,0.01200000000000001,False,False,False
classification,ALLAML,knn,lgbm,lgbm__71ba9ba402678146,3565,7129,0.7595555555555557,0.7575555555555556,0.0020000000000000018,False,False,False
classification,ALLAML,knn,lgbm,lgbm__71ba9ba402678146,5347,7129,0.7455555555555555,0.7575555555555556,-0.012000000000000122,False,False,False
classification,ALLAML,knn,lgbm,lgbm__71ba9ba402678146,7129,7129,0.7575555555555556,0.7575555555555556,0.0,False,True,False
classification,ALLAML,knn,pi,pi__6e89acc5e72da5a8,5,7129,0.613111111111111,0.7575555555555556,-0.1444444444444446,True,False,False
classification,ALLAML,knn,pi,pi__6e89acc5e72da5a8,10,7129,0.6048888888888889,0.7575555555555556,-0.15266666666666673,True,False,False
classification,ALLAML,knn,pi,pi__6e89acc5e72da5a8,25,7129,0.7140000000000001,0.7575555555555556,-0.04355555555555557,True,False,False
classification,ALLAML,knn,pi,pi__6e89acc5e72da5a8,50,7129,0.6613333333333332,0.7575555555555556,-0.09622222222222243,True,False,False
classification,ALLAML,knn,pi,pi__6e89acc5e72da5a8,100,7129,0.6493333333333333,0.7575555555555556,-0.10822222222222233,True,False,False
classification,ALLAML,knn,pi,pi__6e89acc5e72da5a8,150,7129,0.6506666666666666,0.7575555555555556,-0.10688888888888903,False,False,False
classification,ALLAML,knn,pi,pi__6e89acc5e72da5a8,200,7129,0.6835555555555556,0.7575555555555556,-0.07400000000000007,False,False,False
classification,ALLAML,knn,pi,pi__6e89acc5e72da5a8,300,7129,0.6675555555555556,0.7575555555555556,-0.09000000000000008,False,False,False
classification,ALLAML,knn,pi,pi__6e89acc5e72da5a8,500,7129,0.7433333333333333,0.7575555555555556,-0.014222222222222358,False,False,False
classification,ALLAML,knn,pi,pi__6e89acc5e72da5a8,750,7129,0.7208888888888889,0.7575555555555556,-0.036666666666666736,False,False,False
