task,dataset,model_variant,ranking_variant,delta_vs_reference,n_paired_fold_seeds,n_learner_k,reference_model_variant,reference_ranking_variant,included
regression,facebook,cif_no_mute,split_importance,-0.0005813703561105732,25,6,cif_default,split_importance,True
regression,imports-85,cif_no_mute,split_importance,0.0006033137885998189,25,12,cif_default,split_importance,True
regression,residential,cif_no_mute,split_importance,-0.000738168048986996,25,15,cif_default,split_importance,True
regression,coepra1,cif_one_tree,split_count,-0.6435090722984989,25,15,cif_default,split_importance,True
regression,coepra2,cif_one_tree,split_count,-4.148593593687675,25,15,cif_default,split_importance,True
regression,coepra3,cif_one_tree,split_count,-0.30551890651358926,25,15,cif_default,split_importance,True
regression,comm_violence,cif_one_tree,split_count,-0.08040019930307268,25,15,cif_default,split_importance,True
regression,community_crime,cif_one_tree,split_count,-0.003615538005569063,25,15,cif_default,split_importance,True
regression,facebook,cif_one_tree,split_count,-0.026656371937207442,25,6,cif_default,split_importance,True
regression,imports-85,cif_one_tree,split_count,-0.024111718782225348,25,12,cif_default,split_importance,True
regression,residential,cif_one_tree,split_count,-0.061996627560823685,25,15,cif_default,split_importance,True
regression,coepra1,cif_one_tree,split_importance,-0.6435090742118129,25,15,cif_default,split_importance,True
regression,coepra2,cif_one_tree,split_importance,-4.148593593687675,25,15,cif_default,split_importance,True
regression,coepra3,cif_one_tree,split_importance,-0.3055189081546226,25,15,cif_default,split_importance,True
regression,comm_violence,cif_one_tree,split_importance,-0.05557731401292289,25,15,cif_default,split_importance,True
regression,community_crime,cif_one_tree,split_importance,-0.004226870362606961,25,15,cif_default,split_importance,True
regression,facebook,cif_one_tree,split_importance,-0.024118544290137992,25,6,cif_default,split_importance,True
regression,imports-85,cif_one_tree,split_importance,-0.022417983629753592,25,12,cif_default,split_importance,True
regression,residential,cif_one_tree,split_importance,-0.06263383445797145,25,15,cif_default,split_importance,True
