experiment,task,dataset_type,variant,n_features,n_samples,precision_at_10_mean,precision_at_10_std,recall_at_10_mean,recall_at_10_std,f1_at_10_mean,f1_at_10_std,spread_at_10_mean,spread_at_10_std,lr_ba_mean,lr_ba_std,knn_ba_mean,knn_ba_std,elapsed_seconds_mean,elapsed_seconds_std,mean_depth_mean,mean_depth_std,max_depth_mean,max_depth_std,mean_features_used_mean,mean_features_used_std,confounder_rate_at_5_mean,confounder_rate_at_5_std,confounder_rate_at_10_mean,confounder_rate_at_10_std,ridge_r2_mean,ridge_r2_std,knn_r2_mean,knn_r2_std
strictness_continuum,clf,clf_standard_easy,et,100,1000,1.0,0.0,1.0,0.0,1.0,0.0,0.9070707070707069,0.04580114767173589,0.9466031791838011,0.056951438447175325,0.9962027751725465,0.0026364773240054326,0.12208657459996175,0.005890189286808778,0.0,0.0,0.0,0.0,83.17,5.50810312176524,,,,,,,,
strictness_continuum,clf,clf_standard_hard,strict_default,1000,200,0.16,0.07999999999999999,0.32,0.15999999999999998,0.21333333333333332,0.10666666666666667,0.8036036036036036,0.07996839058053243,0.6995246583481878,0.05185964350448872,0.6517825311942959,0.05119408694472561,3.1136358377999387,0.25851930201646023,1.8940000000000001,0.18423897524682445,6.0,0.8944271909999159,0.944,0.20343057783922258,,,,,,,,
strictness_continuum,clf,clf_standard_hard,no_bonf_a05,1000,200,0.12,0.09797958971132711,0.24,0.19595917942265423,0.15999999999999998,0.13063945294843618,0.7825825825825825,0.10358188879415474,0.6960487225193107,0.05589903700214563,0.6225193107546049,0.07146275528678511,4.141721843200048,0.11609324858544365,2.8659999999999997,0.16942254867637893,7.4,0.8,2.16,0.18804254837669052,,,,,,,,
strictness_continuum,clf,clf_standard_hard,no_bonf_a10,1000,200,0.12,0.09797958971132711,0.24,0.19595917942265423,0.15999999999999998,0.13063945294843618,0.8184184184184184,0.06393442839861932,0.713903743315508,0.04982751293434241,0.6275995246583481,0.054705366390300235,4.153930058600144,0.21913404475499873,2.882,0.1140876855756132,6.8,0.7483314773547882,2.2159999999999997,0.1560256389187367,,,,,,,,
strictness_continuum,clf,clf_standard_hard,no_bonf_a20,1000,200,0.12,0.09797958971132711,0.24,0.19595917942265423,0.15999999999999998,0.13063945294843618,0.8142142142142144,0.08864732843876244,0.7148841354723708,0.04997772663828429,0.6538027332144979,0.06507680731875952,4.309435576799933,0.2354445026945957,2.888,0.10571660229122025,6.8,0.7483314773547882,2.228,0.14688771221582836,,,,,,,,
strictness_continuum,clf,clf_standard_hard,no_bonf_a50,1000,200,0.12,0.09797958971132711,0.24,0.19595917942265423,0.15999999999999998,0.13063945294843618,0.8084084084084084,0.0896722598536489,0.720855614973262,0.04602115211679745,0.6367795603089721,0.07934669088173774,4.206360634599969,0.17325318077024576,2.912,0.11178550889985693,7.2,1.16619037896906,2.24,0.1691153452528776,,,,,,,,
strictness_continuum,clf,clf_standard_hard,wide_open_a99,1000,200,0.12,0.09797958971132711,0.24,0.19595917942265423,0.15999999999999998,0.13063945294843618,0.8076076076076075,0.08876661051754993,0.7099524658348189,0.05690874882416347,0.6497326203208555,0.06660192182521701,4.20641048739999,0.24346521116500994,2.944,0.13922643427165682,7.8,0.7483314773547882,2.272,0.1817030544597421,,,,,,,,
strictness_continuum,clf,clf_standard_hard,no_bonf_a20_no_es,1000,200,0.04,0.04898979485566357,0.08,0.09797958971132714,0.05333333333333333,0.06531972647421809,0.8382382382382383,0.1018832174590576,0.5843434343434344,0.04108041567490919,0.5702317290552584,0.02123578355703025,5.953895827599808,0.21227604731104746,1.368,0.05635601121442143,4.6,0.7999999999999999,0.37399999999999994,0.0656048778674269,,,,,,,,
strictness_continuum,clf,clf_standard_hard,no_bonf_a05_no_boot,1000,200,0.15999999999999998,0.13564659966250536,0.31999999999999995,0.2712931993250107,0.21333333333333332,0.1808621328833405,0.8162162162162163,0.041401285230909454,0.6960190136660726,0.0572570305007406,0.6598039215686274,0.08377166502111377,10.388956973600035,0.45637029599655243,1.1179999999999999,0.03969886648255837,3.0,0.0,0.11800000000000002,0.03969886648255842,,,,,,,,
strictness_continuum,clf,clf_standard_hard,optimized_a20,1000,200,0.1,0.10954451150103323,0.2,0.21908902300206645,0.13333333333333333,0.14605934866804432,0.7747747747747747,0.08744189226544334,0.6475044563279858,0.05724364873464049,0.6031788472964943,0.06791424356241221,1.8796633396001199,0.081897171502724,1.6520000000000004,0.07678541528180986,5.4,0.48989794855663565,0.668,0.07833262411026455,,,,,,,,
strictness_continuum,clf,clf_standard_hard,rf,1000,200,0.13999999999999999,0.07999999999999999,0.27999999999999997,0.15999999999999998,0.18666666666666665,0.10666666666666667,0.8008008008008008,0.06581686248154375,0.7058823529411764,0.0568260550896696,0.6846108140225788,0.061312221240623827,0.16127235579988336,0.008730119406866972,0.0,0.0,0.0,0.0,21.080000000000002,0.16935170504013175,,,,,,,,
strictness_continuum,clf,clf_standard_hard,et,1000,200,0.16,0.1356465996625054,0.32,0.2712931993250108,0.21333333333333332,0.1808621328833405,0.8972972972972972,0.08014411853899857,0.7482768865121806,0.04635929233972043,0.6946226975638741,0.04562707307119564,0.11730757979994451,0.0028281067996830996,0.0,0.0,0.0,0.0,51.818,0.17069270634681546,,,,,,,,
strictness_continuum,clf,clf_weak_signal,strict_default,100,1000,0.12000000000000002,0.116619037896906,0.12000000000000002,0.116619037896906,0.12000000000000002,0.11661903789690602,0.7737373737373737,0.10213514876577404,0.5287493239672014,0.019006514476022612,0.5159491172560215,0.013576495835490232,27.79651916440007,1.8489745272235403,1.3960000000000001,0.103072789813801,4.6,0.4898979485566356,0.414,0.10965400129498239,,,,,,,,
strictness_continuum,clf,clf_weak_signal,no_bonf_a05,100,1000,0.2,0.1264911064067352,0.2,0.1264911064067352,0.20000000000000004,0.1264911064067352,0.8545454545454545,0.09488499851165558,0.5341569578206544,0.016338219281755915,0.5520700548519609,0.02141364307075344,42.36599660420006,3.7876411921811717,1.9579999999999997,0.10647065323364927,7.2,0.39999999999999997,1.05,0.1247397290361014,,,,,,,,
