study,dataset,task,kind,design_family,n_samples,n_features,n_informative,informative_fraction,dataset_seed,method,seed,n_splits,n_true_split_events,n_noise_split_events,distinct_noise_features_used,informative_indices
single_tree_split_counts,make_regression_n250_p500_i5,regression,easy_shuffled_regression,vary_dimension_fixed_signal,250,500,5,0.01,57218,cit,3,12,12,0,0,"203,473,284,314,459"
single_tree_split_counts,make_regression_n250_p500_i5,regression,easy_shuffled_regression,vary_dimension_fixed_signal,250,500,5,0.01,57218,cit,4,11,11,0,0,"203,473,284,314,459"
single_tree_split_counts,make_regression_n250_p500_i5,regression,easy_shuffled_regression,vary_dimension_fixed_signal,250,500,5,0.01,57218,dt,0,249,16,233,184,"203,473,284,314,459"
single_tree_split_counts,make_regression_n250_p500_i5,regression,easy_shuffled_regression,vary_dimension_fixed_signal,250,500,5,0.01,57218,dt,1,249,12,237,187,"203,473,284,314,459"
single_tree_split_counts,make_regression_n250_p500_i5,regression,easy_shuffled_regression,vary_dimension_fixed_signal,250,500,5,0.01,57218,dt,2,249,13,236,181,"203,473,284,314,459"
single_tree_split_counts,make_regression_n250_p500_i5,regression,easy_shuffled_regression,vary_dimension_fixed_signal,250,500,5,0.01,57218,dt,3,249,16,233,187,"203,473,284,314,459"
single_tree_split_counts,make_regression_n250_p500_i5,regression,easy_shuffled_regression,vary_dimension_fixed_signal,250,500,5,0.01,57218,dt,4,249,14,235,182,"203,473,284,314,459"
single_tree_split_counts,make_regression_n250_p500_i5,regression,easy_shuffled_regression,vary_dimension_fixed_signal,250,500,5,0.01,57218,rt,0,249,16,233,185,"203,473,284,314,459"
single_tree_split_counts,make_regression_n250_p500_i5,regression,easy_shuffled_regression,vary_dimension_fixed_signal,250,500,5,0.01,57218,rt,1,249,15,234,181,"203,473,284,314,459"
single_tree_split_counts,make_regression_n250_p500_i5,regression,easy_shuffled_regression,vary_dimension_fixed_signal,250,500,5,0.01,57218,rt,2,249,13,236,182,"203,473,284,314,459"
single_tree_split_counts,make_regression_n250_p500_i5,regression,easy_shuffled_regression,vary_dimension_fixed_signal,250,500,5,0.01,57218,rt,3,249,10,239,194,"203,473,284,314,459"
single_tree_split_counts,make_regression_n250_p500_i5,regression,easy_shuffled_regression,vary_dimension_fixed_signal,250,500,5,0.01,57218,rt,4,249,12,237,190,"203,473,284,314,459"
single_tree_split_counts,make_regression_n250_p1000_i5,regression,easy_shuffled_regression,vary_dimension_fixed_signal,250,1000,5,0.005,57718,cit,0,10,8,2,2,"711,357,339,454,110"
single_tree_split_counts,make_regression_n250_p1000_i5,regression,easy_shuffled_regression,vary_dimension_fixed_signal,250,1000,5,0.005,57718,cit,1,10,8,2,2,"711,357,339,454,110"
single_tree_split_counts,make_regression_n250_p1000_i5,regression,easy_shuffled_regression,vary_dimension_fixed_signal,250,1000,5,0.005,57718,cit,2,10,8,2,2,"711,357,339,454,110"
single_tree_split_counts,make_regression_n250_p1000_i5,regression,easy_shuffled_regression,vary_dimension_fixed_signal,250,1000,5,0.005,57718,cit,3,10,8,2,2,"711,357,339,454,110"
single_tree_split_counts,make_regression_n250_p1000_i5,regression,easy_shuffled_regression,vary_dimension_fixed_signal,250,1000,5,0.005,57718,cit,4,10,8,2,2,"711,357,339,454,110"
single_tree_split_counts,make_regression_n250_p1000_i5,regression,easy_shuffled_regression,vary_dimension_fixed_signal,250,1000,5,0.005,57718,dt,0,249,8,241,215,"711,357,339,454,110"
single_tree_split_counts,make_regression_n250_p1000_i5,regression,easy_shuffled_regression,vary_dimension_fixed_signal,250,1000,5,0.005,57718,dt,1,249,8,241,211,"711,357,339,454,110"
single_tree_split_counts,make_regression_n250_p1000_i5,regression,easy_shuffled_regression,vary_dimension_fixed_signal,250,1000,5,0.005,57718,dt,2,249,8,241,216,"711,357,339,454,110"
single_tree_split_counts,make_regression_n250_p1000_i5,regression,easy_shuffled_regression,vary_dimension_fixed_signal,250,1000,5,0.005,57718,dt,3,249,9,240,221,"711,357,339,454,110"
single_tree_split_counts,make_regression_n250_p1000_i5,regression,easy_shuffled_regression,vary_dimension_fixed_signal,250,1000,5,0.005,57718,dt,4,249,9,240,210,"711,357,339,454,110"
single_tree_split_counts,make_regression_n250_p1000_i5,regression,easy_shuffled_regression,vary_dimension_fixed_signal,250,1000,5,0.005,57718,rt,0,249,12,237,210,"711,357,339,454,110"
single_tree_split_counts,make_regression_n250_p1000_i5,regression,easy_shuffled_regression,vary_dimension_fixed_signal,250,1000,5,0.005,57718,rt,1,249,8,241,212,"711,357,339,454,110"
single_tree_split_counts,make_regression_n250_p1000_i5,regression,easy_shuffled_regression,vary_dimension_fixed_signal,250,1000,5,0.005,57718,rt,2,249,10,239,204,"711,357,339,454,110"
single_tree_split_counts,make_regression_n250_p1000_i5,regression,easy_shuffled_regression,vary_dimension_fixed_signal,250,1000,5,0.005,57718,rt,3,249,14,235,204,"711,357,339,454,110"
single_tree_split_counts,make_regression_n250_p1000_i5,regression,easy_shuffled_regression,vary_dimension_fixed_signal,250,1000,5,0.005,57718,rt,4,249,12,237,207,"711,357,339,454,110"
single_tree_split_counts,make_regression_n250_p100_i10,regression,easy_shuffled_regression,vary_dimension_fixed_signal,250,100,10,0.1,106818,cit,0,8,8,0,0,"70,26,7,90,39,28,0,2,62,56"
single_tree_split_counts,make_regression_n250_p100_i10,regression,easy_shuffled_regression,vary_dimension_fixed_signal,250,100,10,0.1,106818,cit,1,9,9,0,0,"70,26,7,90,39,28,0,2,62,56"
single_tree_split_counts,make_regression_n250_p100_i10,regression,easy_shuffled_regression,vary_dimension_fixed_signal,250,100,10,0.1,106818,cit,2,7,7,0,0,"70,26,7,90,39,28,0,2,62,56"
single_tree_split_counts,make_regression_n250_p100_i10,regression,easy_shuffled_regression,vary_dimension_fixed_signal,250,100,10,0.1,106818,cit,3,9,9,0,0,"70,26,7,90,39,28,0,2,62,56"
single_tree_split_counts,make_regression_n250_p100_i10,regression,easy_shuffled_regression,vary_dimension_fixed_signal,250,100,10,0.1,106818,cit,4,7,7,0,0,"70,26,7,90,39,28,0,2,62,56"
single_tree_split_counts,make_regression_n250_p100_i10,regression,easy_shuffled_regression,vary_dimension_fixed_signal,250,100,10,0.1,106818,dt,0,249,35,214,80,"70,26,7,90,39,28,0,2,62,56"
single_tree_split_counts,make_regression_n250_p100_i10,regression,easy_shuffled_regression,vary_dimension_fixed_signal,250,100,10,0.1,106818,dt,1,249,40,209,83,"70,26,7,90,39,28,0,2,62,56"
single_tree_split_counts,make_regression_n250_p100_i10,regression,easy_shuffled_regression,vary_dimension_fixed_signal,250,100,10,0.1,106818,dt,2,249,32,217,84,"70,26,7,90,39,28,0,2,62,56"
single_tree_split_counts,make_regression_n250_p100_i10,regression,easy_shuffled_regression,vary_dimension_fixed_signal,250,100,10,0.1,106818,dt,3,249,29,220,82,"70,26,7,90,39,28,0,2,62,56"
single_tree_split_counts,make_regression_n250_p100_i10,regression,easy_shuffled_regression,vary_dimension_fixed_signal,250,100,10,0.1,106818,dt,4,249,29,220,82,"70,26,7,90,39,28,0,2,62,56"
single_tree_split_counts,make_regression_n250_p100_i10,regression,easy_shuffled_regression,vary_dimension_fixed_signal,250,100,10,0.1,106818,rt,0,249,47,202,85,"70,26,7,90,39,28,0,2,62,56"
single_tree_split_counts,make_regression_n250_p100_i10,regression,easy_shuffled_regression,vary_dimension_fixed_signal,250,100,10,0.1,106818,rt,1,249,34,215,85,"70,26,7,90,39,28,0,2,62,56"
