task,signal,method,informative_share_at_5_mean,informative_share_at_5_std,informative_share_at_5_count,noise_highcard_share_at_5_mean,noise_highcard_share_at_5_std,noise_highcard_share_at_5_count,noise_binary_share_at_5_mean,noise_binary_share_at_5_std,noise_binary_share_at_5_count,noise_gaussian_share_at_5_mean,noise_gaussian_share_at_5_std,noise_gaussian_share_at_5_count,informative_share_at_10_mean,informative_share_at_10_std,informative_share_at_10_count,noise_highcard_share_at_10_mean,noise_highcard_share_at_10_std,noise_highcard_share_at_10_count,noise_binary_share_at_10_mean,noise_binary_share_at_10_std,noise_binary_share_at_10_count,noise_gaussian_share_at_10_mean,noise_gaussian_share_at_10_std,noise_gaussian_share_at_10_count,informative_share_at_25_mean,informative_share_at_25_std,informative_share_at_25_count,noise_highcard_share_at_25_mean,noise_highcard_share_at_25_std,noise_highcard_share_at_25_count,noise_binary_share_at_25_mean,noise_binary_share_at_25_std,noise_binary_share_at_25_count,noise_gaussian_share_at_25_mean,noise_gaussian_share_at_25_std,noise_gaussian_share_at_25_count,support_size_mean,support_size_std,support_size_count,informative_share_at_5_se,noise_highcard_share_at_5_se,noise_binary_share_at_5_se,noise_gaussian_share_at_5_se,informative_share_at_10_se,noise_highcard_share_at_10_se,noise_binary_share_at_10_se,noise_gaussian_share_at_10_se,informative_share_at_25_se,noise_highcard_share_at_25_se,noise_binary_share_at_25_se,noise_gaussian_share_at_25_se,support_size_se,downstream_at_5,downstream_at_10,downstream_at_25
classification,0.1,cif_noadjust,0.856,0.1781385228784985,25,0.08,0.11547005383792516,25,0.008,0.04,25,0.05600000000000001,0.1083205120618128,25,0.64,0.158113883008419,25,0.2,0.10801234497346436,25,0.084,0.08,25,0.076,0.09255628917943214,25,0.336,0.043204937989385725,25,0.34240000000000004,0.06437390775772434,25,0.2,0.06110100926607787,25,0.1216,0.05828664798505172,25,52.84,4.441095960833692,25,0.0356277045756997,0.023094010767585032,0.008,0.02166410241236256,0.0316227766016838,0.021602468994692873,0.016,0.018511257835886426,0.008640987597877145,0.012874781551544867,0.012220201853215575,0.011657329597010343,0.8882191921667385,0.5544702448544575,0.554496021080667,0.5587182257844431
classification,0.1,cit,0.256,0.1781385228784985,25,0.29600000000000004,0.17435595774162693,25,0.408,0.27373953556863745,25,0.04,0.08164965809277261,25,0.228,0.08906926143924926,25,0.324,0.1614517471774978,25,0.37200000000000005,0.20518284528683192,25,0.07600000000000001,0.04358898943540675,25,0.1648,0.06764613810115105,25,0.3696,0.05450382249591915,25,0.3696,0.10474095028529512,25,0.096,0.06633249580710801,25,1.16,0.7461009761866464,25,0.0356277045756997,0.03487119154832539,0.05474790711372749,0.016329931618554522,0.017813852287849853,0.03229034943549956,0.041036569057366384,0.008717797887081349,0.01352922762023021,0.01090076449918383,0.020948190057059023,0.013266499161421603,0.14922019523732927,0.5279346041587231,0.5247877077325447,0.5447021175456841
classification,0.1,lgbm,0.68,0.17320508075688773,25,0.19200000000000003,0.1469693845669907,25,0.0,0.0,25,0.128,0.1514375558880073,25,0.588,0.13329166015421468,25,0.26,0.1,25,0.0,0.0,25,0.15200000000000002,0.0918331820930394,25,0.3472,0.03780652501002086,25,0.4592,0.05787342510456191,25,0.0,0.0,25,0.1936,0.05376492040974921,25,69.96,0.19999999999999996,25,0.034641016151377546,0.02939387691339814,0.0,0.03028751117760146,0.026658332030842936,0.02,0.0,0.01836663641860788,0.007561305002004172,0.01157468502091238,0.0,0.010752984081949841,0.039999999999999994,0.5447259361609308,0.5573943823977497,0.5610259841890978
classification,0.1,rf,0.904,0.11718930554164628,25,0.064,0.09521904571390467,25,0.0,0.0,25,0.032,0.07483314773547883,25,0.72,0.10408329997330665,25,0.192,0.09092121131323902,25,0.0,0.0,25,0.08800000000000001,0.10535653752852739,25,0.3648,0.04052982440952178,25,0.43520000000000003,0.04519587001780877,25,0.0,0.0,25,0.2,0.05291502622129181,25,70.0,0.0,25,0.023437861108329256,0.019043809142780935,0.0,0.014966629547095767,0.02081665999466133,0.018184242262647803,0.0,0.02107130750570548,0.008105964881904355,0.009039174003561754,0.0,0.010583005244258361,0.0,0.557076139453021,0.5634622620202566,0.5620148862268048
classification,0.1,rf_oobperm,0.728,0.15143755588800734,25,0.2,0.1527525231651947,25,0.008,0.04,25,0.064,0.11135528725660043,25,0.488,0.09712534856222307,25,0.35600000000000004,0.1044030650891055,25,0.02,0.040824829046386304,25,0.136,0.08103497187428813,25,0.2704,0.045136829012828686,25,0.3696,0.08428523002282191,25,0.2048,0.09403545430669577,25,0.1552,0.059239626377394834,25,36.04,4.825971404805461,25,0.030287511177601468,0.03055050463303894,0.008,0.022271057451320086,0.019425069712444613,0.0208806130178211,0.008164965809277261,0.016206994374857626,0.009027365802565737,0.016857046004564384,0.018807090861339155,0.011847925275478966,0.9651942809610923,0.5521454979463731,0.5579860579752748,0.5548654460768929
classification,0.1,xgb,0.384,0.23036203390894658,25,0.128,0.14,25,0.44800000000000006,0.2181742422927143,25,0.04,0.08164965809277262,25,0.364,0.12206555615733702,25,0.22,0.1224744871391589,25,0.324,0.1267543556122103,25,0.092,0.10770329614269007,25,0.2864,0.05619015334854794,25,0.3456,0.10058495580022558,25,0.2048,0.076,25,0.1632,0.07476184410067299,25,69.24,0.8793937305515277,25,0.04607240678178932,0.028000000000000004,0.04363484845854286,0.016329931618554526,0.024413111231467405,0.02449489742783178,0.02535087112244206,0.021540659228538015,0.011238030669709588,0.020116991160045117,0.0152,0.014952368820134598,0.17587874611030554,0.535546431163248,0.5403970701185966,0.5556546100951895
classification,0.2,cif,1.0,0.0,25,0.0,0.0,25,0.0,0.0,25,0.0,0.0,25,0.9520000000000001,0.050990195135927854,25,0.036000000000000004,0.04898979485566357,25,0.012000000000000002,0.033166247903554,25,0.0,0.0,25,0.3968,0.011075498483890769,25,0.3136,0.05851495535331116,25,0.19039999999999999,0.06458069887099913,25,0.0992,0.04182503237695499,25,58.68,3.859188170241682,25,0.0,0.0,0.0,0.0,0.01019803902718557,0.009797958971132715,0.0066332495807108,0.0,0.0022150996967781537,0.011702991070662232,0.012916139774199826,0.008365006475390999,0.7718376340483364,0.6323292121560774,0.6833830234965823,0.6728816474194623
classification,0.2,cif_maxt,1.0,0.0,25,0.0,0.0,25,0.0,0.0,25,0.0,0.0,25,0.956,0.05066228051190219,25,0.04,0.05,25,0.004,0.020000000000000004,25,0.0,0.0,25,0.4,0.0,25,0.31679999999999997,0.082397410962562,25,0.15839999999999999,0.07614022152143592,25,0.12480000000000001,0.05455272678794342,25,64.72,2.389560629069703,25,0.0,0.0,0.0,0.0,0.010132456102380439,0.01,0.004000000000000001,0.0,0.0,0.016479482192512402,0.015228044304287184,0.010910545357588685,0.4779121258139406,0.6303719750524337,0.6857132767296847,0.6714818994586008
classification,0.2,cif_noadjust,1.0,0.0,25,0.0,0.0,25,0.0,0.0,25,0.0,0.0,25,0.94,0.04999999999999998,25,0.044000000000000004,0.05066228051190221,25,0.0,0.0,25,0.016,0.03741657386773942,25,0.4,0.0,25,0.3344,0.05642694391866353,25,0.14400000000000002,0.0541602560309064,25,0.1216,0.04687572221665852,25,64.36,2.307234997422959,25,0.0,0.0,0.0,0.0,0.009999999999999997,0.010132456102380442,0.0,0.007483314773547883,0.0,0.011285388783732706,0.01083205120618128,0.009375144443331703,0.46144699948459184,0.6295971898836017,0.6812962423079103,0.6766346117733326
classification,0.2,cit,0.8240000000000001,0.1451436070471816,25,0.09600000000000002,0.1306394529484362,25,0.08,0.11547005383792516,25,0.0,0.0,25,0.48,0.12909944487358058,25,0.22400000000000003,0.14224392195567914,25,0.26,0.18257418583505536,25,0.036000000000000004,0.04898979485566357,25,0.2624,0.0712554091513994,25,0.3328,0.041182520563948,25,0.3296,0.09680220383166215,25,0.07519999999999999,0.050754310161798086,25,4.72,1.4583095236151573,25,0.02902872140943632,0.02612789058968724,0.023094010767585032,0.0,0.025819888974716116,0.02844878439113583,0.03651483716701107,0.009797958971132715,0.01425108183027988,0.0082365041127896,0.019360440766332428,0.010150862032359617,0.29166190472303144,0.6186462796414444,0.6137354084853495,0.6260543241964801
