experiment,task,dataset_type,variant,n_features,n_samples,precision_at_10_mean,precision_at_10_std,recall_at_10_mean,recall_at_10_std,f1_at_10_mean,f1_at_10_std,spread_at_10_mean,spread_at_10_std,lr_ba_mean,lr_ba_std,knn_ba_mean,knn_ba_std,elapsed_seconds_mean,elapsed_seconds_std,confounder_rate_at_5_mean,confounder_rate_at_5_std,confounder_rate_at_10_mean,confounder_rate_at_10_std
bootstrap_vs_featsubsample,clf,clf_toeplitz,boot_log2,100,1000,0.9199999999999999,0.039999999999999994,0.9199999999999999,0.039999999999999994,0.9199999999999999,0.039999999999999994,0.7696969696969698,0.10269305072435422,0.8396255681408269,0.043411006571687144,0.8000252507034125,0.05536229790942526,32.482458717605915,2.5618067880739726,,,,
bootstrap_vs_featsubsample,clf,clf_toeplitz,boot_half,100,1000,0.74,0.1356465996625054,0.74,0.1356465996625054,0.74,0.1356465996625054,0.8141414141414142,0.14106739596037246,0.84322800182767,0.03961502721404596,0.8010232546954285,0.047332903771974466,27.572839652799303,4.676183504090561,,,,
bootstrap_vs_featsubsample,clf,clf_toeplitz,noboot_allfeats,100,1000,0.8800000000000001,0.03999999999999999,0.8800000000000001,0.03999999999999999,0.8800000000000001,0.039999999999999945,0.7696969696969698,0.10269305072435422,0.8410215713152009,0.04182166546069703,0.8012192482504868,0.06103030113155266,33.88487983840169,7.228104082663584,,,,
bootstrap_vs_featsubsample,clf,clf_toeplitz,noboot_sqrt,100,1000,0.8800000000000001,0.03999999999999999,0.8800000000000001,0.03999999999999999,0.8800000000000001,0.039999999999999945,0.7696969696969698,0.10269305072435422,0.8410215713152009,0.04182166546069703,0.8012192482504868,0.06103030113155266,33.26112112540286,6.405559037200998,,,,
bootstrap_vs_featsubsample,clf,clf_toeplitz,noboot_log2,100,1000,0.8800000000000001,0.07483314773547882,0.8800000000000001,0.07483314773547882,0.8800000000000001,0.07483314773547876,0.7919191919191919,0.11720654306553767,0.8406283817906356,0.041994489016659295,0.7970156073395378,0.05462017353956035,36.084784626602776,3.3229829674664915,,,,
bootstrap_vs_featsubsample,clf,clf_toeplitz,noboot_half,100,1000,0.8400000000000001,0.04898979485566354,0.8400000000000001,0.04898979485566354,0.8400000000000002,0.048989794855663495,0.7777777777777779,0.14040040690015398,0.8406235721328427,0.03991108487482293,0.8000348700189981,0.055927290256829694,38.629433791805056,5.338087856953982,,,,
bootstrap_vs_featsubsample,clf,clf_confounder,boot_allfeats,120,1000,0.38,0.040000000000000015,0.38,0.040000000000000015,0.38000000000000006,0.040000000000000036,0.8672268907563027,0.09645946119181004,0.7916143616381695,0.07334842750891032,0.8413895101363538,0.03827037973632609,31.139295263201348,2.672232965068931,0.64,0.14966629547095767,0.62,0.039999999999999994
bootstrap_vs_featsubsample,clf,clf_confounder,boot_sqrt,120,1000,0.38,0.040000000000000015,0.38,0.040000000000000015,0.38000000000000006,0.040000000000000036,0.8672268907563027,0.09645946119181004,0.7916143616381695,0.07334842750891032,0.8413895101363538,0.03827037973632609,31.29664123960247,2.639496147661577,0.64,0.14966629547095767,0.62,0.039999999999999994
bootstrap_vs_featsubsample,clf,clf_confounder,boot_log2,120,1000,0.41999999999999993,0.116619037896906,0.41999999999999993,0.116619037896906,0.42000000000000004,0.116619037896906,0.9092436974789916,0.04614968140418815,0.787601904624486,0.06556567160229193,0.8341930596638049,0.02919521038511892,32.777704667995565,3.1252541923616284,0.56,0.14966629547095767,0.5800000000000001,0.11661903789690597
bootstrap_vs_featsubsample,clf,clf_confounder,boot_half,120,1000,0.6,0.06324555320336757,0.6,0.06324555320336757,0.6,0.06324555320336757,0.9142857142857143,0.04735799261716093,0.8036252795613594,0.07766966429397408,0.8958192049635668,0.023705352342145304,32.657819089194525,8.536042879034591,0.24,0.14966629547095767,0.4,0.0632455532033676
bootstrap_vs_featsubsample,clf,clf_confounder,noboot_allfeats,120,1000,0.36,0.08,0.36,0.08,0.3600000000000001,0.08,0.853781512605042,0.10050363958135161,0.7890123367722386,0.0742439282359727,0.8216073876343699,0.0549562885713592,38.94785288800195,2.971614636364869,0.64,0.08000000000000003,0.64,0.08000000000000003
bootstrap_vs_featsubsample,clf,clf_confounder,noboot_sqrt,120,1000,0.36,0.08,0.36,0.08,0.3600000000000001,0.08,0.853781512605042,0.10050363958135161,0.7890123367722386,0.0742439282359727,0.8216073876343699,0.0549562885713592,39.47742426680052,4.201860013190338,0.64,0.08000000000000003,0.64,0.08000000000000003
bootstrap_vs_featsubsample,clf,clf_confounder,noboot_log2,120,1000,0.38,0.07483314773547883,0.38,0.07483314773547883,0.38,0.07483314773547885,0.8521008403361344,0.11306815590960781,0.7756090229180195,0.06782178054241116,0.8121960897482143,0.04070017805211248,33.95892557119951,4.2262082666024146,0.64,0.14966629547095767,0.6199999999999999,0.0748331477354788
bootstrap_vs_featsubsample,clf,clf_confounder,noboot_half,120,1000,0.48,0.0748331477354788,0.48,0.0748331477354788,0.4800000000000001,0.07483314773547879,0.8991596638655462,0.059894217415816686,0.7976035880047134,0.0798956106468392,0.8724009811701897,0.021551638774818492,51.652725760205065,12.899194834909485,0.2,0.1264911064067352,0.52,0.0748331477354788
bootstrap_vs_featsubsample,clf,clf_bias,boot_allfeats,100,1000,0.8400000000000001,0.12000000000000002,0.8400000000000001,0.12000000000000002,0.8400000000000001,0.12000000000000002,0.6424242424242425,0.22789812941773535,0.8136293677704831,0.08396759946254294,0.7849902604429695,0.1568293568737929,30.859793340601026,1.5688451872268439,,,,
bootstrap_vs_featsubsample,clf,clf_bias,boot_sqrt,100,1000,0.8400000000000001,0.12000000000000002,0.8400000000000001,0.12000000000000002,0.8400000000000001,0.12000000000000002,0.6424242424242425,0.22789812941773535,0.8136293677704831,0.08396759946254294,0.7849902604429695,0.1568293568737929,30.9448825541971,1.6638201551253968,,,,
bootstrap_vs_featsubsample,clf,clf_bias,boot_log2,100,1000,0.7,0.17888543819998318,0.7,0.17888543819998318,0.7000000000000001,0.1788854381999832,0.6444444444444445,0.19296895250520493,0.8136209508693456,0.07958995275595025,0.6930223889570257,0.19828044726057104,31.484924267799943,2.6239740907104254,,,,
bootstrap_vs_featsubsample,clf,clf_bias,boot_half,100,1000,1.0,0.0,1.0,0.0,1.0,0.0,0.43636363636363634,0.019586585282490212,0.820026212634971,0.0812036985285486,0.9486015919967293,0.013048237051009444,30.362128071996267,3.1800513701298887,,,,
bootstrap_vs_featsubsample,clf,clf_bias,noboot_allfeats,100,1000,0.96,0.04898979485566354,0.96,0.04898979485566354,0.96,0.04898979485566354,0.6282828282828283,0.23846942480040556,0.8204230094028808,0.08240785133581835,0.8239977875574152,0.1639400100460402,25.096426346804947,3.976214369760114,,,,
bootstrap_vs_featsubsample,clf,clf_bias,noboot_sqrt,100,1000,0.96,0.04898979485566354,0.96,0.04898979485566354,0.96,0.04898979485566354,0.6282828282828283,0.23846942480040556,0.8204230094028808,0.08240785133581835,0.8239977875574152,0.1639400100460402,25.17059455520357,3.796051456267621,,,,
bootstrap_vs_featsubsample,clf,clf_bias,noboot_log2,100,1000,0.8800000000000001,0.039999999999999994,0.8800000000000001,0.039999999999999994,0.8800000000000001,0.039999999999999945,0.8686868686868687,0.09279744709378468,0.8158225717240217,0.08137038286033575,0.6503967967679098,0.08818621175372965,26.59036348160298,2.9723064077128702,,,,
bootstrap_vs_featsubsample,clf,clf_bias,noboot_half,100,1000,1.0,0.0,1.0,0.0,1.0,0.0,0.43636363636363634,0.019586585282490212,0.820026212634971,0.0812036985285486,0.9486015919967293,0.013048237051009444,46.427406675202654,6.306272114502299,,,,
