experiment,method,base_dataset,p_noise,p_total,n_samples,n_informative,precision_at_10_mean,precision_at_10_std,recall_at_10_mean,recall_at_10_std,f1_at_10_mean,f1_at_10_std,spread_at_10_mean,spread_at_10_std,lr_ba_mean,lr_ba_std,knn_ba_mean,knn_ba_std,elapsed_seconds_mean,elapsed_seconds_std
noise_injection,et,moderate,50,100,1000,10,1.0,0.0,1.0,0.0,1.0,0.0,0.09090909090909091,0.0,0.681629512060217,0.058662239588459925,0.8850263328764157,0.015837685057369766,0.12443713319999006,0.005163295817220945
noise_injection,et,moderate,100,150,1000,10,0.96,0.04898979485566354,0.96,0.04898979485566354,0.96,0.04898979485566354,0.2751677852348993,0.292235450430567,0.6854363562032562,0.06120390044940724,0.8830170983334537,0.02010610516143239,0.12298196560004726,0.0024016761256514954
noise_injection,et,moderate,500,550,1000,10,0.8,0.0894427190999916,0.8,0.0894427190999916,0.8,0.0894427190999916,0.8794171220400729,0.07641073486615384,0.6876163335978644,0.05342071472995108,0.8376331674001396,0.03729170375700136,0.1286431504000575,0.0017824779367824684
noise_injection,et,moderate,1000,1050,1000,10,0.6599999999999999,0.10198039027185571,0.6599999999999999,0.10198039027185571,0.6600000000000001,0.10198039027185572,0.8030505243088657,0.11159197771522318,0.6814106726306424,0.056647081894847344,0.7770170502368756,0.04099994213684365,0.1313537500000166,0.0052742196485380645
noise_injection,cif,many_info,0,50,1000,20,1.0,0.0,0.5,0.0,0.6666666666666666,0.0,0.3551020408163265,0.037851504063247776,0.8246038044393142,0.03937139203047284,0.8595928624678354,0.029635952202117292,26.781405225799972,2.6337263272016975
noise_injection,cif,many_info,10,60,1000,20,1.0,0.0,0.5,0.0,0.6666666666666666,0.0,0.30508474576271183,0.015159782898303643,0.8230069980520887,0.036609581108211026,0.852801625664334,0.03282221898394964,29.574082060000002,3.3466128307043737
noise_injection,cif,many_info,50,100,1000,20,1.0,0.0,0.5,0.0,0.6666666666666666,0.0,0.18181818181818182,0.012776879435023746,0.8208125916841016,0.04107625800794344,0.858002068152851,0.033938355458934415,30.818469924199963,2.3033930515161
noise_injection,cif,many_info,100,150,1000,20,1.0,0.0,0.5,0.0,0.6666666666666666,0.0,0.11140939597315436,0.010904749536424115,0.8136017122381742,0.04368811941172628,0.8452083784238752,0.04273270964162423,30.704219277399897,1.8361007161052554
noise_injection,cif,many_info,500,550,1000,20,0.96,0.04898979485566354,0.48,0.02449489742783177,0.6399999999999999,0.03265986323710904,0.34098360655737703,0.3789554339824858,0.8062152802828079,0.03639749838452626,0.841787509318712,0.04288141288332919,29.695881567600008,2.3026905815107215
noise_injection,cif,many_info,1000,1050,1000,20,0.9399999999999998,0.04898979485566355,0.4699999999999999,0.024494897427831775,0.6266666666666667,0.03265986323710904,0.3376549094375596,0.3422460437726773,0.8070124810619724,0.04683058649914303,0.8484128129283601,0.02760911921695611,31.116684874400015,2.3223678703883857
noise_injection,rf,many_info,0,50,1000,20,1.0,0.0,0.5,0.0,0.6666666666666666,0.0,0.3714285714285714,0.015272070966424243,0.8219981723300389,0.040563742095355716,0.8642089315345214,0.0266179862517208,0.1570741230000749,0.005733923003834892
noise_injection,rf,many_info,10,60,1000,20,1.0,0.0,0.5,0.0,0.6666666666666666,0.0,0.31186440677966104,0.008303355060281938,0.8133948969530819,0.042447304493771855,0.858790852030878,0.02549722930650653,0.1640590620000694,0.010031472611975257
noise_injection,rf,many_info,50,100,1000,20,1.0,0.0,0.5,0.0,0.6666666666666666,0.0,0.1858585858585859,0.004948464126834694,0.8217949642882909,0.040479460430295586,0.8560048577543707,0.02222374616659369,0.16853694739993444,0.004331578523938013
noise_injection,rf,many_info,100,150,1000,20,1.0,0.0,0.5,0.0,0.6666666666666666,0.0,0.11946308724832215,0.007826781066906449,0.8234110093066878,0.042574558168583,0.8554096626025058,0.03322582306187697,0.167206644000089,0.003165233825762148
noise_injection,rf,many_info,500,550,1000,20,1.0,0.0,0.5,0.0,0.6666666666666666,0.0,0.03278688524590164,0.0011520137195513216,0.8178113652213644,0.038387330385074775,0.8521907991246422,0.02840088433524064,0.17472757419991466,0.004576302510287238
noise_injection,rf,many_info,1000,1050,1000,20,1.0,0.0,0.5,0.0,0.6666666666666666,0.0,0.017349857006673023,0.000934028500584625,0.8144061275040281,0.03829293264414775,0.8490116153235696,0.03898825045469714,0.18612872559997412,0.000948310250647655
noise_injection,et,many_info,0,50,1000,20,1.0,0.0,0.5,0.0,0.6666666666666666,0.0,0.3714285714285714,0.0237998036524298,0.821590553832095,0.04017841374397488,0.8637965033787847,0.02676364076898449,0.12019443500003035,0.007854709559974289
noise_injection,et,many_info,10,60,1000,20,1.0,0.0,0.5,0.0,0.6666666666666666,0.0,0.30847457627118646,0.012683584361945548,0.8236009907895054,0.0416742015742296,0.8602024865930791,0.024250814769720252,0.12239686460015946,0.00416830483024633
noise_injection,et,many_info,50,100,1000,20,1.0,0.0,0.5,0.0,0.6666666666666666,0.0,0.18585858585858586,0.008080808080808076,0.8228037900103408,0.037411600837249454,0.8644085323329247,0.02737816939705834,0.12278653500006839,0.0036677393000266296
noise_injection,et,many_info,100,150,1000,20,1.0,0.0,0.5,0.0,0.6666666666666666,0.0,0.12348993288590607,0.005369127516778527,0.8264038188682875,0.03704816084385772,0.8604105042926197,0.023889766341575046,0.12693859419996442,0.005409662650667598
noise_injection,et,many_info,500,550,1000,20,1.0,0.0,0.5,0.0,0.6666666666666666,0.0,0.03205828779599272,0.00145719489981785,0.8081992641223577,0.037138363416566456,0.8575908424115625,0.030870403519214152,0.15095827400000417,0.028542519919847558
noise_injection,et,many_info,1000,1050,1000,20,1.0,0.0,0.5,0.0,0.6666666666666666,0.0,0.016587225929456627,0.0009721676860996733,0.809805689825169,0.04274473480580019,0.8513935983454777,0.03779280885252872,0.13354983760000322,0.006784992589995583
