study,task,n,k,threshold_test,stopping,nominal_alpha,effect,step_quantile,replicates,split_rate,ci_low,ci_high,seconds_per_fit,budget_note
stageb_only,classification,100,256,bonferroni_fixed,adaptive,0.35,0.0,0.5,500,0.024,0.0105846626281706,0.0374153373718293,0.0080970870879999,raised to the floor ceil(K/alpha) by the sequential path
stageb_only,classification,100,256,bonferroni_fixed,adaptive,0.35,0.05,0.5,200,0.07,0.0346384276367693,0.1053615723632307,0.009223366015,raised to the floor ceil(K/alpha) by the sequential path
stageb_only,classification,100,256,bonferroni_fixed,adaptive,0.35,0.1,0.5,200,0.295,0.2317956979312325,0.3582043020687674,0.009048098245,raised to the floor ceil(K/alpha) by the sequential path
stageb_only,classification,100,256,bonferroni_fixed,adaptive,0.35,0.2,0.5,200,0.9,0.8584221212662311,0.941577878733769,0.00303702186,raised to the floor ceil(K/alpha) by the sequential path
stageb_only,classification,100,256,bonferroni_fixed,adaptive,0.5,0.0,0.5,500,0.03,0.0150473707997556,0.0449526292002443,0.007214628944,raised to the floor ceil(K/alpha) by the sequential path
stageb_only,classification,100,256,bonferroni_fixed,adaptive,0.5,0.05,0.5,200,0.075,0.0384958221569092,0.1115041778430907,0.00827626643,raised to the floor ceil(K/alpha) by the sequential path
stageb_only,classification,100,256,bonferroni_fixed,adaptive,0.5,0.1,0.5,200,0.355,0.2886814369878236,0.4213185630121763,0.0074721876549998,raised to the floor ceil(K/alpha) by the sequential path
stageb_only,classification,100,256,bonferroni_fixed,adaptive,0.5,0.2,0.5,200,0.925,0.8884958221569093,0.9615041778430908,0.0025726690800001,raised to the floor ceil(K/alpha) by the sequential path
stageb_only,classification,100,256,bonferroni_fixed,exhaustive,0.02,0.0,0.5,500,0.0,0.0,0.0,0.0101487807739999,fixed 999 per candidate
stageb_only,classification,100,256,bonferroni_fixed,exhaustive,0.02,0.05,0.5,200,0.0,0.0,0.0,0.0123380622749999,fixed 999 per candidate
stageb_only,classification,100,256,bonferroni_fixed,exhaustive,0.02,0.1,0.5,200,0.0,0.0,0.0,0.0159346560599999,fixed 999 per candidate
stageb_only,classification,100,256,bonferroni_fixed,exhaustive,0.02,0.2,0.5,200,0.0,0.0,0.0,0.0192509299449997,fixed 999 per candidate
stageb_only,classification,100,256,bonferroni_fixed,exhaustive,0.05,0.0,0.5,500,0.0,0.0,0.0,0.01016581392,fixed 999 per candidate
stageb_only,classification,100,256,bonferroni_fixed,exhaustive,0.05,0.05,0.5,200,0.0,0.0,0.0,0.0123467187349999,fixed 999 per candidate
stageb_only,classification,100,256,bonferroni_fixed,exhaustive,0.05,0.1,0.5,200,0.0,0.0,0.0,0.015949582295,fixed 999 per candidate
stageb_only,classification,100,256,bonferroni_fixed,exhaustive,0.05,0.2,0.5,200,0.0,0.0,0.0,0.019127158345,fixed 999 per candidate
stageb_only,classification,100,256,bonferroni_fixed,exhaustive,0.1,0.0,0.5,500,0.0,0.0,0.0,0.012494079208,fixed 999 per candidate
stageb_only,classification,100,256,bonferroni_fixed,exhaustive,0.1,0.05,0.5,200,0.0,0.0,0.0,0.0123353487349999,fixed 999 per candidate
stageb_only,classification,100,256,bonferroni_fixed,exhaustive,0.1,0.1,0.5,200,0.0,0.0,0.0,0.01593347327,fixed 999 per candidate
stageb_only,classification,100,256,bonferroni_fixed,exhaustive,0.1,0.2,0.5,200,0.0,0.0,0.0,0.0191325734349999,fixed 999 per candidate
stageb_only,classification,100,256,bonferroni_fixed,exhaustive,0.2,0.0,0.5,500,0.012,0.0024557860878959,0.021544213912104,0.0098933778179999,fixed 999 per candidate
stageb_only,classification,100,256,bonferroni_fixed,exhaustive,0.2,0.05,0.5,200,0.025,0.0033621858774967,0.0466378141225032,0.0118668656949998,fixed 999 per candidate
stageb_only,classification,100,256,bonferroni_fixed,exhaustive,0.2,0.1,0.5,200,0.17,0.1179399500576497,0.2220600499423502,0.0128708364399997,fixed 999 per candidate
stageb_only,classification,100,256,bonferroni_fixed,exhaustive,0.2,0.2,0.5,200,0.83,0.7779399500576497,0.8820600499423502,0.0044737360050001,fixed 999 per candidate
stageb_only,classification,100,256,bonferroni_fixed,exhaustive,0.35,0.0,0.5,500,0.024,0.0105846626281706,0.0374153373718293,0.0096820954100001,fixed 999 per candidate
stageb_only,classification,100,256,bonferroni_fixed,exhaustive,0.35,0.05,0.5,200,0.07,0.0346384276367693,0.1053615723632307,0.011058341995,fixed 999 per candidate
stageb_only,classification,100,256,bonferroni_fixed,exhaustive,0.35,0.1,0.5,200,0.295,0.2317956979312325,0.3582043020687674,0.0106685885999999,fixed 999 per candidate
stageb_only,classification,100,256,bonferroni_fixed,exhaustive,0.35,0.2,0.5,200,0.9,0.8584221212662311,0.941577878733769,0.0032372139199998,fixed 999 per candidate
stageb_only,classification,100,256,bonferroni_fixed,exhaustive,0.5,0.0,0.5,500,0.03,0.0150473707997556,0.0449526292002443,0.0095669916739999,fixed 999 per candidate
stageb_only,classification,100,256,bonferroni_fixed,exhaustive,0.5,0.05,0.5,200,0.075,0.0384958221569092,0.1115041778430907,0.0109643265249999,fixed 999 per candidate
stageb_only,classification,100,256,bonferroni_fixed,exhaustive,0.5,0.1,0.5,200,0.36,0.2934753940259696,0.4265246059740303,0.0095736277400001,fixed 999 per candidate
stageb_only,classification,100,256,bonferroni_fixed,exhaustive,0.5,0.2,0.5,200,0.925,0.8884958221569093,0.9615041778430908,0.0027978148599999,fixed 999 per candidate
stageb_only,classification,200,16,bonferroni_fixed,adaptive,0.02,0.0,0.5,500,0.006,0.0,0.0127692396027914,0.019050926906,raised to the floor ceil(K/alpha) by the sequential path
stageb_only,classification,200,16,bonferroni_fixed,adaptive,0.02,0.05,0.5,200,0.07,0.0346384276367693,0.1053615723632307,0.0047443638599999,raised to the floor ceil(K/alpha) by the sequential path
stageb_only,classification,200,16,bonferroni_fixed,adaptive,0.02,0.1,0.5,200,0.335,0.2695854588031071,0.4004145411968929,0.004643035115,raised to the floor ceil(K/alpha) by the sequential path
stageb_only,classification,200,16,bonferroni_fixed,adaptive,0.02,0.2,0.5,200,0.99,0.9762101776661192,1.0,0.0015083765300001,raised to the floor ceil(K/alpha) by the sequential path
stageb_only,classification,200,16,bonferroni_fixed,adaptive,0.05,0.0,0.5,500,0.01,0.0012785505791755,0.0187214494208245,0.0030203764119999,raised to the floor ceil(K/alpha) by the sequential path
stageb_only,classification,200,16,bonferroni_fixed,adaptive,0.05,0.05,0.5,200,0.125,0.0791646970120192,0.1708353029879807,0.00351539834,raised to the floor ceil(K/alpha) by the sequential path
