study,dataset,task,kind,design_family,n_samples,n_features,n_informative,informative_fraction,dataset_seed,method,seed,n_estimators,n_split_events,n_true_split_events,n_noise_split_events,distinct_noise_features_used,informative_indices,sweep_n_estimators
ensemble_split_counts,make_classification_n250_p500_i2,classification,easy_shuffled_classification,vary_dimension_fixed_signal,250,500,2,0.004,25218,cif_all,2,1000,1109,1000,109,17,"219,253",1000
ensemble_split_counts,make_classification_n250_p500_i2,classification,easy_shuffled_classification,vary_dimension_fixed_signal,250,500,2,0.004,25218,cif_all,3,1000,1109,1000,109,17,"219,253",1000
ensemble_split_counts,make_classification_n250_p500_i2,classification,easy_shuffled_classification,vary_dimension_fixed_signal,250,500,2,0.004,25218,cif_all,4,1000,1109,1000,109,17,"219,253",1000
ensemble_split_counts,make_classification_n250_p500_i2,classification,easy_shuffled_classification,vary_dimension_fixed_signal,250,500,2,0.004,25218,rf,0,1000,23957,921,23036,498,"219,253",1000
ensemble_split_counts,make_classification_n250_p500_i2,classification,easy_shuffled_classification,vary_dimension_fixed_signal,250,500,2,0.004,25218,rf,1,1000,23756,864,22892,498,"219,253",1000
ensemble_split_counts,make_classification_n250_p500_i2,classification,easy_shuffled_classification,vary_dimension_fixed_signal,250,500,2,0.004,25218,rf,2,1000,23548,868,22680,498,"219,253",1000
ensemble_split_counts,make_classification_n250_p500_i2,classification,easy_shuffled_classification,vary_dimension_fixed_signal,250,500,2,0.004,25218,rf,3,1000,23312,901,22411,498,"219,253",1000
ensemble_split_counts,make_classification_n250_p500_i2,classification,easy_shuffled_classification,vary_dimension_fixed_signal,250,500,2,0.004,25218,rf,4,1000,24068,798,23270,498,"219,253",1000
ensemble_split_counts,make_classification_n250_p500_i2,classification,easy_shuffled_classification,vary_dimension_fixed_signal,250,500,2,0.004,25218,et,0,1000,62815,1757,61058,498,"219,253",1000
ensemble_split_counts,make_classification_n250_p500_i2,classification,easy_shuffled_classification,vary_dimension_fixed_signal,250,500,2,0.004,25218,et,1,1000,63600,1672,61928,498,"219,253",1000
ensemble_split_counts,make_classification_n250_p500_i2,classification,easy_shuffled_classification,vary_dimension_fixed_signal,250,500,2,0.004,25218,et,2,1000,62454,1786,60668,498,"219,253",1000
ensemble_split_counts,make_classification_n250_p500_i2,classification,easy_shuffled_classification,vary_dimension_fixed_signal,250,500,2,0.004,25218,et,3,1000,62327,1789,60538,498,"219,253",1000
ensemble_split_counts,make_classification_n250_p500_i2,classification,easy_shuffled_classification,vary_dimension_fixed_signal,250,500,2,0.004,25218,et,4,1000,63142,1719,61423,498,"219,253",1000
ensemble_split_counts,make_classification_n250_p1000_i2,classification,easy_shuffled_classification,vary_dimension_fixed_signal,250,1000,2,0.002,25718,cif,0,1000,1067,97,970,439,"441,267",1000
