task,dataset,model_variant,ranking_variant,candidate_dataset_score,candidate_n_cells,candidate_score_missing_rows,reference_dataset_score,reference_n_cells,reference_score_missing_rows,reference_model_variant,reference_ranking_variant,delta_vs_reference
regression,coepra1,cif_default,split_count,-0.02120993568385597,15,0,-0.013382992347816832,15,0,cif_default,split_importance,-0.007826943336039139
regression,coepra1,cif_no_bootstrap,split_count,-0.022894682589752937,15,0,-0.013382992347816832,15,0,cif_default,split_importance,-0.009511690241936105
regression,coepra1,cif_no_bootstrap,split_importance,-0.05101325828621743,15,0,-0.013382992347816832,15,0,cif_default,split_importance,-0.037630265938400596
regression,coepra1,cif_no_mute,split_count,-0.06501782704091735,15,0,-0.013382992347816832,15,0,cif_default,split_importance,-0.05163483469310052
regression,coepra1,cif_no_mute,split_importance,-0.0455830923753833,15,0,-0.013382992347816832,15,0,cif_default,split_importance,-0.032200100027566465
regression,coepra1,cif_one_tree,split_count,-0.7070295789572907,15,0,-0.013382992347816832,15,0,cif_default,split_importance,-0.6936465866094739
regression,coepra1,cif_one_tree,split_importance,-0.7070295789572907,15,0,-0.013382992347816832,15,0,cif_default,split_importance,-0.6936465866094739
regression,coepra2,cif_default,split_count,-0.6094440787009068,15,0,-0.4610549203962996,15,0,cif_default,split_importance,-0.1483891583046072
regression,coepra2,cif_no_bootstrap,split_count,-2.0505335498059387,15,0,-0.4610549203962996,15,0,cif_default,split_importance,-1.5894786294096392
regression,coepra2,cif_no_bootstrap,split_importance,-2.047876985298997,15,0,-0.4610549203962996,15,0,cif_default,split_importance,-1.5868220649026976
regression,coepra2,cif_no_mute,split_count,-0.6329785107064119,15,0,-0.4610549203962996,15,0,cif_default,split_importance,-0.17192359031011228
regression,coepra2,cif_no_mute,split_importance,-0.44206922429441387,15,0,-0.4610549203962996,15,0,cif_default,split_importance,0.01898569610188572
regression,coepra2,cif_one_tree,split_count,-3.5861758687847716,15,0,-0.4610549203962996,15,0,cif_default,split_importance,-3.125120948388472
regression,coepra2,cif_one_tree,split_importance,-3.5861758687847702,15,0,-0.4610549203962996,15,0,cif_default,split_importance,-3.1251209483884708
regression,coepra3,cif_default,split_count,-0.11640469736450566,15,0,-0.09066593447253421,15,0,cif_default,split_importance,-0.025738762891971453
regression,coepra3,cif_no_bootstrap,split_count,-0.09946423595671179,15,0,-0.09066593447253421,15,0,cif_default,split_importance,-0.008798301484177581
regression,coepra3,cif_no_bootstrap,split_importance,-0.1158047863169804,15,0,-0.09066593447253421,15,0,cif_default,split_importance,-0.025138851844446183
regression,coepra3,cif_no_mute,split_count,-0.12904993414395033,15,0,-0.09066593447253421,15,0,cif_default,split_importance,-0.03838399967141612
regression,coepra3,cif_no_mute,split_importance,-0.07901439497117423,15,0,-0.09066593447253421,15,0,cif_default,split_importance,0.011651539501359984
regression,coepra3,cif_one_tree,split_count,-0.388263687866963,15,0,-0.09066593447253421,15,0,cif_default,split_importance,-0.29759775339442884
regression,coepra3,cif_one_tree,split_importance,-0.38830355119061505,15,0,-0.09066593447253421,15,0,cif_default,split_importance,-0.29763761671808087
regression,comm_violence,cif_default,split_count,0.5420568511458753,15,0,0.5402473974556495,15,0,cif_default,split_importance,0.0018094536902257818
regression,comm_violence,cif_no_bootstrap,split_count,0.5386012152996819,15,0,0.5402473974556495,15,0,cif_default,split_importance,-0.0016461821559676793
regression,comm_violence,cif_no_bootstrap,split_importance,0.5370693504383782,15,0,0.5402473974556495,15,0,cif_default,split_importance,-0.0031780470172713127
regression,comm_violence,cif_no_mute,split_count,0.5420572151005624,15,0,0.5402473974556495,15,0,cif_default,split_importance,0.0018098176449128367
regression,comm_violence,cif_no_mute,split_importance,0.5410050267355505,15,0,0.5402473974556495,15,0,cif_default,split_importance,0.0007576292799009732
regression,comm_violence,cif_one_tree,split_count,0.39129103553141303,15,0,0.5402473974556495,15,0,cif_default,split_importance,-0.1489563619242365
regression,comm_violence,cif_one_tree,split_importance,0.3981241349354167,15,0,0.5402473974556495,15,0,cif_default,split_importance,-0.14212326252023283
regression,community_crime,cif_default,split_count,0.6118307621853262,15,0,0.6089213002378259,15,0,cif_default,split_importance,0.0029094619475003025
regression,community_crime,cif_no_bootstrap,split_count,0.6116334049998547,15,0,0.6089213002378259,15,0,cif_default,split_importance,0.0027121047620288774
regression,community_crime,cif_no_bootstrap,split_importance,0.6102208939139633,15,0,0.6089213002378259,15,0,cif_default,split_importance,0.0012995936761374116
regression,community_crime,cif_no_mute,split_count,0.6123049561032499,15,0,0.6089213002378259,15,0,cif_default,split_importance,0.0033836558654239957
regression,community_crime,cif_no_mute,split_importance,0.6097312478115061,15,0,0.6089213002378259,15,0,cif_default,split_importance,0.0008099475736802475
regression,community_crime,cif_one_tree,split_count,0.5807711824049656,15,0,0.6089213002378259,15,0,cif_default,split_importance,-0.028150117832860255
regression,community_crime,cif_one_tree,split_importance,0.5810088674382531,15,0,0.6089213002378259,15,0,cif_default,split_importance,-0.027912432799572784
regression,facebook,cif_default,split_count,0.6234581701376531,6,0,0.6254273093097772,6,0,cif_default,split_importance,-0.001969139172124046
regression,facebook,cif_no_bootstrap,split_count,0.6224595298703333,6,0,0.6254273093097772,6,0,cif_default,split_importance,-0.0029677794394439294
regression,facebook,cif_no_bootstrap,split_importance,0.6255996149605687,6,0,0.6254273093097772,6,0,cif_default,split_importance,0.0001723056507915155
regression,facebook,cif_no_mute,split_count,0.6236139700070011,6,0,0.6254273093097772,6,0,cif_default,split_importance,-0.0018133393027760514
regression,facebook,cif_no_mute,split_importance,0.6258387196572094,6,0,0.6254273093097772,6,0,cif_default,split_importance,0.00041141034743219507
regression,facebook,cif_one_tree,split_count,0.573249101343043,6,0,0.6254273093097772,6,0,cif_default,split_importance,-0.052178207966734225
regression,facebook,cif_one_tree,split_importance,0.5795570251214955,6,0,0.6254273093097772,6,0,cif_default,split_importance,-0.04587028418828165
