study,dataset,task,kind,design_family,n_samples,n_features,n_informative,informative_fraction,method,n_fit_seeds,n_estimators_per_fit,total_trees,mean_total_splits_per_fit,mean_true_split_events_per_fit,mean_noise_split_events_per_fit,informative_split_share,distinct_false_features_used,max_false_tree_use_count,mean_false_tree_use_count,true_split_counts,true_tree_use_counts,sweep_n_estimators
ensemble_split_counts,make_regression_n250_p100_i1,regression,easy_shuffled_regression,vary_dimension_fixed_signal,250,100,1,0.01,rf,5,500,2500,78618.2,9001.8,69616.4,0.11450020478718669,99,2036,1891.5757575757575,45009,2500,500
ensemble_split_counts,make_regression_n250_p100_i10,regression,easy_shuffled_regression,vary_dimension_fixed_signal,250,100,10,0.1,cif,5,500,2500,658.0,418.8,239.2,0.6364741641337386,77,75,13.066666666666666,"0,10,0,246,40,462,453,35,613,235","0,10,0,241,40,437,438,35,508,225",500
ensemble_split_counts,make_regression_n250_p100_i10,regression,easy_shuffled_regression,vary_dimension_fixed_signal,250,100,10,0.1,cif_all,5,500,2500,8553.2,4881.4,3671.8,0.5707103774026095,90,450,195.25555555555556,"206,189,135,2379,480,4197,6383,335,7748,2355","196,184,130,1578,435,2410,2495,315,2500,1723",500
ensemble_split_counts,make_regression_n250_p100_i10,regression,easy_shuffled_regression,vary_dimension_fixed_signal,250,100,10,0.1,et,5,500,2500,124500.0,20432.2,104067.8,0.1641140562248996,90,2355,2256.3444444444444,"5926,5903,5404,11346,6601,13151,16849,6418,21154,9409","2258,2290,2226,2485,2324,2499,2500,2329,2500,2460",500
ensemble_split_counts,make_regression_n250_p100_i10,regression,easy_shuffled_regression,vary_dimension_fixed_signal,250,100,10,0.1,rf,5,500,2500,78618.2,12039.4,66578.8,0.15313756865458633,90,2052,1933.5777777777778,"3869,3791,3293,7120,4711,7419,9523,3815,10630,6026","1959,1954,1845,2401,2142,2487,2492,1964,2500,2316",500
ensemble_split_counts,make_regression_n250_p100_i2,regression,easy_shuffled_regression,vary_dimension_fixed_signal,250,100,2,0.02,cif,5,500,2500,398.0,157.8,240.2,0.3964824120603015,86,40,12.153061224489797,"264,525","264,375",500
ensemble_split_counts,make_regression_n250_p100_i2,regression,easy_shuffled_regression,vary_dimension_fixed_signal,250,100,2,0.02,cif_all,5,500,2500,13654.0,8079.4,5574.6,0.5917240369122602,98,568,267.7142857142857,"16009,24388","2500,2500",500
ensemble_split_counts,make_regression_n250_p100_i2,regression,easy_shuffled_regression,vary_dimension_fixed_signal,250,100,2,0.02,et,5,500,2500,124500.0,15966.6,108533.4,0.12824578313253013,98,2348,2229.112244897959,"32325,47508","2500,2500",500
ensemble_split_counts,make_regression_n250_p100_i2,regression,easy_shuffled_regression,vary_dimension_fixed_signal,250,100,2,0.02,rf,5,500,2500,78618.2,7968.8,70649.4,0.10136075361684699,98,2059,1914.265306122449,"15085,24759","2500,2500",500
ensemble_split_counts,make_regression_n250_p100_i5,regression,easy_shuffled_regression,vary_dimension_fixed_signal,250,100,5,0.05,cif,5,500,2500,898.6,473.4,425.2,0.526819496995326,85,100,22.16842105263158,"545,691,45,381,705","490,566,45,371,562",500
ensemble_split_counts,make_regression_n250_p100_i5,regression,easy_shuffled_regression,vary_dimension_fixed_signal,250,100,5,0.05,cif_all,5,500,2500,11147.2,6350.4,4796.8,0.5696856609731592,95,605,238.0421052631579,"9586,9622,334,1574,10636","2500,2500,309,1192,2500",500
ensemble_split_counts,make_regression_n250_p100_i5,regression,easy_shuffled_regression,vary_dimension_fixed_signal,250,100,5,0.05,et,5,500,2500,124500.0,16715.4,107784.6,0.13426024096385542,95,2344,2243.821052631579,"20103,24589,6684,8763,23438","2500,2500,2342,2443,2500",500
ensemble_split_counts,make_regression_n250_p100_i5,regression,easy_shuffled_regression,vary_dimension_fixed_signal,250,100,5,0.05,rf,5,500,2500,78618.2,9019.2,69599.0,0.11472152758521564,95,2090,1922.4947368421053,"11616,12066,3944,4642,12828","2498,2500,2005,2114,2500",500
ensemble_split_counts,make_regression_n250_p500_i1,regression,easy_shuffled_regression,vary_dimension_fixed_signal,250,500,1,0.002,cif,5,500,2500,602.6,71.6,531.0,0.11881845336873548,283,75,5.31062124248497,358,288,500
ensemble_split_counts,make_regression_n250_p500_i1,regression,easy_shuffled_regression,vary_dimension_fixed_signal,250,500,1,0.002,cif_all,5,500,2500,12686.8,3955.4,8731.4,0.31177286628621875,498,391,85.96192384769539,19777,2500,500
ensemble_split_counts,make_regression_n250_p500_i1,regression,easy_shuffled_regression,vary_dimension_fixed_signal,250,500,1,0.002,et,5,500,2500,124500.0,6328.2,118171.8,0.0508289156626506,499,1211,943.7755511022044,31641,2500,500
ensemble_split_counts,make_regression_n250_p500_i1,regression,easy_shuffled_regression,vary_dimension_fixed_signal,250,500,1,0.002,rf,5,500,2500,78618.2,3758.2,74860.0,0.04780318043404708,499,1086,648.6372745490982,18791,2500,500
ensemble_split_counts,make_regression_n250_p500_i10,regression,easy_shuffled_regression,vary_dimension_fixed_signal,250,500,10,0.02,cif,5,500,2500,692.8,248.6,444.2,0.3588337182448037,257,45,4.522448979591837,"210,195,170,15,10,5,172,240,5,221","205,190,160,15,10,5,172,230,5,216",500
ensemble_split_counts,make_regression_n250_p500_i10,regression,easy_shuffled_regression,vary_dimension_fixed_signal,250,500,10,0.02,cif_all,5,500,2500,10844.2,3178.4,7665.8,0.29309677062392797,490,271,76.62244897959184,"1605,2618,2357,160,270,60,1246,4024,75,3477","1385,2020,1704,150,260,60,1120,2465,75,2407",500
ensemble_split_counts,make_regression_n250_p500_i10,regression,easy_shuffled_regression,vary_dimension_fixed_signal,250,500,10,0.02,et,5,500,2500,124500.0,6611.0,117889.0,0.0531004016064257,490,1145,955.9877551020409,"3516,4405,3934,1785,1444,1115,2887,7294,1200,5475","2052,2257,2143,1276,1081,912,1812,2487,975,2466",500
ensemble_split_counts,make_regression_n250_p500_i10,regression,easy_shuffled_regression,vary_dimension_fixed_signal,250,500,10,0.02,rf,5,500,2500,78618.2,3833.6,74784.6,0.048762245892172554,490,852,657.7448979591836,"1822,2773,2040,981,913,731,1772,4172,761,3203","1404,1937,1506,826,775,625,1366,2384,660,2246",500
ensemble_split_counts,make_regression_n250_p500_i2,regression,easy_shuffled_regression,vary_dimension_fixed_signal,250,500,2,0.004,cif,5,500,2500,569.2,113.4,455.8,0.19922698524244553,259,40,4.546184738955823,"290,277","245,242",500
ensemble_split_counts,make_regression_n250_p500_i2,regression,easy_shuffled_regression,vary_dimension_fixed_signal,250,500,2,0.004,cif_all,5,500,2500,15794.0,7424.6,8369.4,0.4700899075598328,498,478,82.48192771084338,"16932,20191","2500,2500",500
ensemble_split_counts,make_regression_n250_p500_i2,regression,easy_shuffled_regression,vary_dimension_fixed_signal,250,500,2,0.004,et,5,500,2500,124500.0,10516.0,113984.0,0.08446586345381527,498,1126,918.6305220883534,"26449,26131","2500,2500",500
ensemble_split_counts,make_regression_n250_p500_i2,regression,easy_shuffled_regression,vary_dimension_fixed_signal,250,500,2,0.004,rf,5,500,2500,78618.2,5671.6,72946.6,0.07214105639661045,498,806,635.6666666666666,"13618,14740","2500,2500",500
ensemble_split_counts,make_regression_n250_p500_i5,regression,easy_shuffled_regression,vary_dimension_fixed_signal,250,500,5,0.01,cif,5,500,2500,725.0,194.2,530.8,0.26786206896551723,293,60,5.361616161616162,"230,33,105,333,270","205,33,105,303,240",500
ensemble_split_counts,make_regression_n250_p500_i5,regression,easy_shuffled_regression,vary_dimension_fixed_signal,250,500,5,0.01,cif_all,5,500,2500,12805.4,4323.8,8481.6,0.3376544270385931,495,289,83.87878787878788,"6706,155,1884,5697,7177","2500,150,1485,2500,2500",500
ensemble_split_counts,make_regression_n250_p500_i5,regression,easy_shuffled_regression,vary_dimension_fixed_signal,250,500,5,0.01,et,5,500,2500,124500.0,7210.6,117289.4,0.057916465863453816,495,1170,944.4767676767676,"9082,1291,3491,11197,10992","2499,999,2006,2500,2500",500
ensemble_split_counts,make_regression_n250_p500_i5,regression,easy_shuffled_regression,vary_dimension_fixed_signal,250,500,5,0.01,rf,5,500,2500,78618.2,4065.2,74553.0,0.05170812865214416,495,842,651.4040404040404,"6249,769,1856,4826,6626","2488,653,1379,2500,2496",500
ensemble_split_counts,make_regression_n250_p1000_i1,regression,easy_shuffled_regression,vary_dimension_fixed_signal,250,1000,1,0.001,cif,5,1000,5000,1223.0,94.2,1128.8,0.07702371218315618,582,65,5.62962962962963,471,391,1000
ensemble_split_counts,make_regression_n250_p1000_i1,regression,easy_shuffled_regression,vary_dimension_fixed_signal,250,1000,1,0.001,cif_all,5,1000,5000,37004.6,18421.8,18582.8,0.49782459478010843,998,662,91.82082082082083,92109,5000,1000
ensemble_split_counts,make_regression_n250_p1000_i1,regression,easy_shuffled_regression,vary_dimension_fixed_signal,250,1000,1,0.001,et,5,1000,5000,249000.0,19994.8,229005.2,0.08030040160642571,999,1577,1025.1741741741741,99974,5000,1000
ensemble_split_counts,make_regression_n250_p1000_i1,regression,easy_shuffled_regression,vary_dimension_fixed_signal,250,1000,1,0.001,rf,5,1000,5000,157191.6,14202.4,142989.2,0.09035088388946992,999,991,667.2122122122122,71012,5000,1000
ensemble_split_counts,make_regression_n250_p1000_i10,regression,easy_shuffled_regression,vary_dimension_fixed_signal,250,1000,10,0.01,cif,5,1000,5000,1742.0,352.8,1389.2,0.20252583237657865,662,105,7.016161616161616,"275,174,30,20,255,326,10,40,329,305","275,174,30,20,255,321,10,40,324,305",1000
