task,dataset,model_variant,ranking_variant,downstream_model,k,mean_score,median_score,std_score,n_fold_seed_rows,n_nonnull_score_rows,n_seeds,n_folds,n_features,score_missing_rows,scores_complete
classification,CLL_SUB_111,cif_default,split_count,lr,5,0.7025993265993266,0.7070707070707071,0.10773211738837925,25,25,5,5,11340,0,True
classification,CLL_SUB_111,cif_default,split_count,lr,10,0.7244848484848485,0.7373737373737373,0.095131774950125,25,25,5,5,11340,0,True
classification,CLL_SUB_111,cif_default,split_count,lr,25,0.7640808080808081,0.7666666666666666,0.07145505971055216,25,25,5,5,11340,0,True
classification,CLL_SUB_111,cif_default,split_count,lr,50,0.73803367003367,0.744107744107744,0.06327432212381215,25,25,5,5,11340,0,True
classification,CLL_SUB_111,cif_default,split_count,lr,100,0.7868282828282829,0.7999999999999999,0.07540529891660191,25,25,5,5,11340,0,True
classification,CLL_SUB_111,cif_default,split_count,svm,5,0.6946531986531987,0.7003367003367004,0.12027204039428702,25,25,5,5,11340,0,True
classification,CLL_SUB_111,cif_default,split_count,svm,10,0.7254680134680135,0.7373737373737373,0.09245556026674184,25,25,5,5,11340,0,True
classification,CLL_SUB_111,cif_default,split_count,svm,25,0.7736161616161615,0.7999999999999999,0.06570819288816533,25,25,5,5,11340,0,True
classification,CLL_SUB_111,cif_default,split_count,svm,50,0.7795151515151515,0.7666666666666666,0.056821002548762996,25,25,5,5,11340,0,True
classification,CLL_SUB_111,cif_default,split_count,svm,100,0.8061548821548822,0.7999999999999999,0.07619685090092045,25,25,5,5,11340,0,True
classification,CLL_SUB_111,cif_default,split_importance,knn,5,0.6772390572390572,0.6666666666666666,0.07197673582843153,25,25,5,5,11340,0,True
classification,CLL_SUB_111,cif_default,split_importance,knn,10,0.6611447811447811,0.6868686868686869,0.10156632302512875,25,25,5,5,11340,0,True
classification,CLL_SUB_111,cif_default,split_importance,knn,25,0.6934545454545454,0.7333333333333334,0.1038136050940789,25,25,5,5,11340,0,True
classification,CLL_SUB_111,cif_default,split_importance,knn,50,0.7516902356902356,0.7666666666666666,0.09834859299648056,25,25,5,5,11340,0,True
classification,CLL_SUB_111,cif_default,split_importance,knn,100,0.7205925925925927,0.7333333333333334,0.09651339008197278,25,25,5,5,11340,0,True
classification,CLL_SUB_111,cif_default,split_importance,lr,5,0.6741010101010102,0.6666666666666666,0.08817954691445619,25,25,5,5,11340,0,True
classification,CLL_SUB_111,cif_default,split_importance,lr,10,0.7037306397306398,0.7070707070707071,0.09625831779941905,25,25,5,5,11340,0,True
classification,CLL_SUB_111,cif_default,split_importance,lr,25,0.7363232323232323,0.7508417508417509,0.08900149314279718,25,25,5,5,11340,0,True
classification,CLL_SUB_111,cif_default,split_importance,lr,50,0.7698989898989899,0.7666666666666666,0.06802798180529948,25,25,5,5,11340,0,True
classification,CLL_SUB_111,cif_default,split_importance,lr,100,0.7768754208754208,0.7744107744107743,0.052662372460925436,25,25,5,5,11340,0,True
classification,CLL_SUB_111,cif_default,split_importance,svm,5,0.6971717171717172,0.7000000000000001,0.09079569558327602,25,25,5,5,11340,0,True
classification,CLL_SUB_111,cif_default,split_importance,svm,10,0.7227070707070707,0.7333333333333334,0.0764679921441006,25,25,5,5,11340,0,True
classification,CLL_SUB_111,cif_default,split_importance,svm,25,0.7301010101010101,0.744107744107744,0.07701101734225102,25,25,5,5,11340,0,True
classification,CLL_SUB_111,cif_default,split_importance,svm,50,0.8075420875420875,0.7999999999999999,0.05085354885000761,25,25,5,5,11340,0,True
classification,CLL_SUB_111,cif_default,split_importance,svm,100,0.8216700336700336,0.8047138047138046,0.07378059400906355,25,25,5,5,11340,0,True
classification,CLL_SUB_111,cif_no_bootstrap,split_count,knn,5,0.6479461279461279,0.6397306397306397,0.09722354617917796,25,25,5,5,11340,0,True
classification,CLL_SUB_111,cif_no_bootstrap,split_count,knn,10,0.6671515151515152,0.6666666666666666,0.10488985961435246,25,25,5,5,11340,0,True
classification,CLL_SUB_111,cif_no_bootstrap,split_count,knn,25,0.7271380471380471,0.7333333333333334,0.09323058438807805,25,25,5,5,11340,0,True
