task,downstream_model,dataset,focus_method,baseline,n_k,supported_k,mean_delta,median_delta,start_delta,end_delta,delta_change,win_share,nonloss_share
classification,svm,arcene,cif,pi,5,"5,10,25,50,100",0.06332323232323236,0.06563131313131321,0.03085858585858592,0.09830808080808084,0.06744949494949493,1.0,1.0
classification,svm,arcene,cif,ptest_mc,5,"5,10,25,50,100",0.010166666666666657,0.008131313131313211,-0.005757575757575739,0.013535353535353511,0.01929292929292925,0.6,0.6
classification,svm,arcene,cif,ptest_rdc,5,"5,10,25,50,100",0.060813131313131305,0.04623737373737369,0.14093434343434352,0.009242424242424163,-0.13169191919191936,1.0,1.0
classification,svm,arcene,cif,r_cforest,5,"5,10,25,50,100",0.08165656565656562,0.08378787878787886,0.10699494949494948,0.06373737373737365,-0.04325757575757583,1.0,1.0
classification,svm,arcene,cif,r_ctree,5,"5,10,25,50,100",0.048156565656565675,0.04712121212121223,0.04712121212121223,0.07318181818181824,0.026060606060606006,1.0,1.0
classification,svm,arcene,cif,rf,5,"5,10,25,50,100",-0.020484848484848484,-0.01989898989898997,0.014116161616161693,-0.01989898989898997,-0.034015151515151665,0.2,0.2
classification,svm,arcene,cif,rfe,5,"5,10,25,50,100",0.012161616161616196,0.01689393939393935,-0.019671717171717007,0.0553030303030303,0.0749747474747473,0.6,0.6
classification,svm,arcene,cif,xgb,5,"5,10,25,50,100",0.002479797979798004,0.0067424242424242165,-0.03196969696969687,0.014924242424242506,0.04689393939393938,0.6,0.6
classification,svm,dexter,cif,boruta,5,"5,10,25,50,100",-0.04186666666666668,-0.043333333333333224,-0.043333333333333224,-0.024000000000000132,0.01933333333333309,0.0,0.0
classification,svm,dexter,cif,cat,5,"5,10,25,50,100",-0.041333333333333375,-0.04600000000000004,-0.06933333333333336,0.002666666666666595,0.07199999999999995,0.2,0.2
classification,svm,dexter,cif,cit,5,"5,10,25,50,100",0.0784,0.08066666666666666,-0.009999999999999898,0.14533333333333331,0.1553333333333332,0.8,0.8
classification,svm,dexter,cif,cpi,5,"5,10,25,50,100",0.0749333333333333,0.07000000000000006,0.07000000000000006,0.10133333333333316,0.0313333333333331,1.0,1.0
classification,svm,dexter,cif,et,5,"5,10,25,50,100",-0.0022666666666666833,-0.0013333333333334085,0.004666666666666708,-0.0013333333333334085,-0.006000000000000116,0.4,0.4
classification,svm,dexter,cif,lgbm,5,"5,10,25,50,100",-0.03613333333333335,-0.03866666666666663,-0.06733333333333325,0.009333333333333305,0.07666666666666655,0.2,0.2
classification,svm,dexter,cif,pi,5,"5,10,25,50,100",0.04853333333333334,0.04799999999999993,0.03266666666666673,0.06466666666666665,0.03199999999999992,1.0,1.0
classification,svm,dexter,cif,ptest_mc,5,"5,10,25,50,100",-0.011733333333333373,-0.021333333333333426,0.010666666666666713,-0.021333333333333426,-0.03200000000000014,0.4,0.4
classification,svm,dexter,cif,ptest_rdc,5,"5,10,25,50,100",0.03186666666666667,0.022666666666666724,-0.027999999999999914,0.09133333333333338,0.11933333333333329,0.8,0.8
classification,svm,dexter,cif,rf,5,"5,10,25,50,100",-0.030000000000000006,-0.02733333333333332,-0.019999999999999907,-0.021333333333333426,-0.0013333333333335196,0.0,0.0
classification,svm,dexter,cif,rfe,5,"5,10,25,50,100",0.10706666666666664,0.1166666666666667,0.04466666666666674,0.1433333333333332,0.09866666666666646,1.0,1.0
classification,svm,dexter,cif,xgb,5,"5,10,25,50,100",-0.03626666666666674,-0.043333333333333446,-0.07599999999999985,0.011333333333333195,0.08733333333333304,0.4,0.4
classification,svm,gamma,cif,boruta,1,5,0.07973859437377306,0.07973859437377306,0.07973859437377306,0.07973859437377306,0.0,1.0,1.0
classification,svm,gamma,cif,cat,1,5,0.0,0.0,0.0,0.0,0.0,0.0,1.0
classification,svm,gamma,cif,cit,1,5,0.010870276026802128,0.010870276026802128,0.010870276026802128,0.010870276026802128,0.0,1.0,1.0
classification,svm,gamma,cif,cpi,1,5,0.0012521847307670475,0.0012521847307670475,0.0012521847307670475,0.0012521847307670475,0.0,1.0,1.0
classification,svm,gamma,cif,et,1,5,0.0015190416166286358,0.0015190416166286358,0.0015190416166286358,0.0015190416166286358,0.0,1.0,1.0
classification,svm,gamma,cif,lgbm,1,5,0.0,0.0,0.0,0.0,0.0,0.0,1.0
classification,svm,gamma,cif,pi,1,5,-0.004955398990884707,-0.004955398990884707,-0.004955398990884707,-0.004955398990884707,0.0,0.0,0.0
classification,svm,gamma,cif,ptest_mc,1,5,0.005590510011585836,0.005590510011585836,0.005590510011585836,0.005590510011585836,0.0,1.0,1.0
classification,svm,gamma,cif,ptest_rdc,1,5,0.030187174110618886,0.030187174110618886,0.030187174110618886,0.030187174110618886,0.0,1.0,1.0
classification,svm,gamma,cif,r_cforest,1,5,0.004093453118199086,0.004093453118199086,0.004093453118199086,0.004093453118199086,0.0,1.0,1.0
classification,svm,gamma,cif,r_ctree,1,5,0.11934488851194658,0.11934488851194658,0.11934488851194658,0.11934488851194658,0.0,1.0,1.0
classification,svm,gamma,cif,rf,1,5,0.0,0.0,0.0,0.0,0.0,0.0,1.0
classification,svm,gamma,cif,rfe,1,5,0.0018178935317409994,0.0018178935317409994,0.0018178935317409994,0.0018178935317409994,0.0,1.0,1.0
classification,svm,gamma,cif,xgb,1,5,0.0,0.0,0.0,0.0,0.0,0.0,1.0
