experiment,task,dataset_type,variant,n_features,n_samples,precision_at_10_mean,precision_at_10_std,recall_at_10_mean,recall_at_10_std,f1_at_10_mean,f1_at_10_std,spread_at_10_mean,spread_at_10_std,lr_ba_mean,lr_ba_std,svm_ba_mean,svm_ba_std,knn_ba_mean,knn_ba_std,elapsed_seconds_mean,elapsed_seconds_std,mean_depth_mean,mean_depth_std,max_depth_mean,max_depth_std,mean_features_used_mean,mean_features_used_std,confounder_rate_at_5_mean,confounder_rate_at_5_std,confounder_rate_at_10_mean,confounder_rate_at_10_std,ridge_r2_mean,ridge_r2_std,svr_r2_mean,svr_r2_std,knn_r2_mean,knn_r2_std
threshold_search_ablation,clf,clf_weak_signal,exact_all,100,1000,0.16,0.08,0.16,0.08,0.16,0.07999999999999999,0.8222222222222222,0.05591253536605275,0.5352066245124105,0.01608893065213115,0.5535563013127762,0.014624045722191503,0.5243069205041646,0.013673890123542323,147.56517741839997,4.6890142831914625,1.372,0.05114684741017765,5.6,1.2,0.4,0.046475800154488996,,,,,,,,,,
threshold_search_ablation,clf,clf_weak_signal,histogram_32,100,1000,0.2,0.12649110640673517,0.2,0.12649110640673517,0.2,0.12649110640673517,0.8424242424242424,0.10586321217433453,0.5393707996826459,0.011087842537836365,0.5665459536255293,0.031719174468612825,0.5367941283239602,0.024636487149442367,0.5668476111997733,0.053345108969654255,1.496,0.15602563891873672,5.8,1.16619037896906,0.532,0.17474552927042225,,,,,,,,,,
threshold_search_ablation,clf,clf_weak_signal,histogram_64,100,1000,0.18000000000000002,0.116619037896906,0.18000000000000002,0.116619037896906,0.18000000000000002,0.116619037896906,0.8141414141414142,0.12593492828693897,0.5377678794603981,0.014090319023644916,0.5667419883021211,0.03181370482721403,0.5424299164150185,0.02495305891745442,1.6337930346002394,0.10452268296086654,1.4700000000000002,0.1812181006411887,4.8,0.7483314773547882,0.504,0.21387847016471762,,,,,,,,,,
threshold_search_ablation,clf,clf_weak_signal,histogram_128,100,1000,0.16,0.10198039027185568,0.16,0.10198039027185568,0.16,0.10198039027185571,0.7838383838383838,0.14193267127474984,0.5363896701980173,0.018161877442331248,0.5570027133965523,0.014027940611839141,0.520577456936125,0.015238325777772975,5.663578759200209,0.03978230386085598,1.428,0.12023310692151302,5.0,0.6324555320336759,0.466,0.1462326912834473,,,,,,,,,,
threshold_search_ablation,clf,clf_weak_signal,histogram_256,100,1000,0.12000000000000002,0.116619037896906,0.12000000000000002,0.116619037896906,0.12000000000000002,0.11661903789690602,0.7737373737373737,0.10213514876577404,0.5276223771619125,0.018575929366124243,0.5446673387694958,0.025668219640519456,0.5151434415371,0.013937763926790725,21.977603155200267,0.1345928209943769,1.3960000000000001,0.103072789813801,4.6,0.4898979485566356,0.414,0.10965400129498239,,,,,,,,,,
threshold_search_ablation,clf,clf_weak_signal,histogram_512,100,1000,0.13999999999999999,0.1019803902718557,0.13999999999999999,0.1019803902718557,0.14,0.10198039027185568,0.7898989898989898,0.06921956242024975,0.5442800054197139,0.011671727166385032,0.5458253906311406,0.015459514470716147,0.5173673421945553,0.013784058637004517,86.94769724039998,0.8644348209025937,1.358,0.07222188034107113,4.2,0.7483314773547882,0.376,0.06681317235396027,,,,,,,,,,
threshold_search_ablation,clf,clf_weak_signal,histogram_all,100,1000,0.18000000000000002,0.07483314773547882,0.18000000000000002,0.07483314773547882,0.18000000000000002,0.07483314773547882,0.8484848484848484,0.01690222275826418,0.5303596460654031,0.014143512806071283,0.5616283757525371,0.029258058224211306,0.5350926767442531,0.025050696980172846,136.89574618759997,1.4613782819075187,1.354,0.06560487786742689,4.4,0.7999999999999999,0.36800000000000005,0.06337191807101943,,,,,,,,,,
threshold_search_ablation,clf,clf_weak_signal,rf,100,1000,0.7,0.0632455532033676,0.7,0.0632455532033676,0.7,0.06324555320336764,0.905050505050505,0.03647569714195512,0.5369673306597049,0.01584552688993216,0.751568918179913,0.02432559800087756,0.703847799628407,0.019221323889106363,0.13184868179996556,0.004188114339562708,0.0,0.0,0.0,0.0,73.724,0.22966061917533814,,,,,,,,,,
threshold_search_ablation,clf,clf_weak_signal,et,100,1000,0.8,0.0632455532033676,0.8,0.0632455532033676,0.8,0.0632455532033676,0.9070707070707071,0.03746916563836647,0.5410037084335476,0.020203874395155755,0.7758283688191343,0.015838107688995656,0.7360130271455212,0.030854334776620702,0.09682145160004438,0.001773666136881882,0.0,0.0,0.0,0.0,97.136,0.13184839779079519,,,,,,,,,,
threshold_search_ablation,clf,clf_weak_signal,cit,100,1000,0.16,0.08,0.16,0.08,0.16,0.07999999999999999,0.09090909090909091,0.0,0.495144667895732,0.018842038442462124,0.5403208757470715,0.04668531558892885,0.5208844419334283,0.023352146471113076,0.6690781329998572,0.00276074731875568,1.0,0.0,1.0,0.0,0.0,0.0,,,,,,,,,,
threshold_search_ablation,clf,clf_nonlinear,exact_all,100,1000,0.4,0.0,0.8,0.0,0.5333333333333333,0.0,0.8929292929292931,0.09248907589704726,0.8311978452733089,0.009950375439678846,0.8424187769040232,0.004768751143913133,0.7852331481615084,0.015424533267240855,146.31095601179987,2.8781018935489766,2.346,0.05083306010855539,8.2,0.39999999999999997,1.4520000000000002,0.08328265125462805,,,,,,,,,,
threshold_search_ablation,clf,clf_nonlinear,histogram_32,100,1000,0.4,0.0,0.8,0.0,0.5333333333333333,0.0,0.8484848484848484,0.06968964974004178,0.829213861433759,0.010669460083450814,0.8393959069812184,0.010341260308592948,0.785792270879927,0.014766277349116643,0.6523512492000009,0.03316332464105927,2.6,0.06066300355241246,7.6,0.8,1.778,0.09744742172063868,,,,,,,,,,
threshold_search_ablation,clf,clf_nonlinear,histogram_64,100,1000,0.4,0.0,0.8,0.0,0.5333333333333333,0.0,0.8626262626262626,0.06657477597286496,0.829407450159921,0.014361637867431195,0.8319866291513358,0.012631163756012613,0.7785922131640335,0.0055539774570386264,1.6967616982001346,0.0671125731248813,2.4939999999999998,0.0924337600663308,7.6,0.48989794855663565,1.6920000000000002,0.09785703858180055,,,,,,,,,,
threshold_search_ablation,clf,clf_nonlinear,histogram_128,100,1000,0.4,0.0,0.8,0.0,0.5333333333333333,0.0,0.8727272727272727,0.07891727266514993,0.8290058437342183,0.013976183740533648,0.8423971334439555,0.015394961893610505,0.7762162422143664,0.011821639387332451,6.599802105000163,0.666236676459935,2.3899999999999997,0.07238784428341535,7.4,0.48989794855663565,1.5340000000000003,0.056780278266313614,,,,,,,,,,
threshold_search_ablation,clf,clf_nonlinear,histogram_256,100,1000,0.42000000000000004,0.039999999999999994,0.8400000000000001,0.07999999999999999,0.5599999999999999,0.05333333333333332,0.8121212121212122,0.12148118285553866,0.8326010629343722,0.009507713441223595,0.8412019334824328,0.01773803057384768,0.7789962244186326,0.014297855042781889,25.14727521019995,1.912683141946371,2.36,0.055497747702046483,7.8,0.7483314773547882,1.4620000000000002,0.06910861017268399,,,,,,,,,,
threshold_search_ablation,clf,clf_nonlinear,histogram_512,100,1000,0.4,0.0,0.8,0.0,0.5333333333333333,0.0,0.890909090909091,0.05799070745215081,0.8283998268523194,0.008208634831865477,0.8424127648317823,0.00952405789877049,0.7770014188490488,0.010434500621853394,92.3727302598003,0.41108335349033254,2.318,0.027856776554368353,7.8,0.7483314773547882,1.4340000000000002,0.0749933330370107,,,,,,,,,,
threshold_search_ablation,clf,clf_nonlinear,histogram_all,100,1000,0.4,0.0,0.8,0.0,0.5333333333333333,0.0,0.8828282828282829,0.051346525362177084,0.8290070461486666,0.008028835239350093,0.8438051607628119,0.014500574556472941,0.7796010388860832,0.012124814015864018,146.8943988236002,3.76903724625269,2.3,0.022803508501982858,7.6,0.7999999999999999,1.416,0.06437390775772428,,,,,,,,,,
threshold_search_ablation,clf,clf_nonlinear,rf,100,1000,0.5,0.0,1.0,0.0,0.6666666666666666,0.0,0.814141414141414,0.117900900698302,0.8328162951206022,0.013298746196943333,0.8729949739076066,0.010566579819772829,0.8030144530216674,0.01601185934530697,0.15267526999996334,0.048313486003991456,0.0,0.0,0.0,0.0,66.536,0.619632148939999,,,,,,,,,,
threshold_search_ablation,clf,clf_nonlinear,et,100,1000,0.5,0.0,1.0,0.0,0.6666666666666666,0.0,0.795959595959596,0.11717171717171715,0.8335990669263882,0.014069266640428669,0.8738162229757354,0.006906594276562979,0.8038164634586249,0.006000118698854593,0.09527326220013492,0.003045149276066276,0.0,0.0,0.0,0.0,94.99199999999999,0.23886397802933845,,,,,,,,,,
threshold_search_ablation,clf,clf_nonlinear,cit,100,1000,0.4,0.0,0.8,0.0,0.5333333333333333,0.0,0.8727272727272727,0.14492045603604814,0.8298030445133827,0.013765819846331734,0.8421951278166558,0.00953259508249399,0.7863982877618259,0.011200977800835637,15.61823068420017,2.65282740492546,6.2,0.39999999999999997,6.2,0.39999999999999997,4.2,0.39999999999999997,,,,,,,,,,
threshold_search_ablation,clf,clf_toeplitz,exact_all,100,1000,0.9200000000000002,0.039999999999999994,0.9200000000000002,0.039999999999999994,0.9200000000000002,0.039999999999999994,0.7616161616161616,0.11598141490430162,0.838827164947214,0.04326574802133214,0.8280258759589255,0.048297511883931304,0.8018300747901786,0.058938423866806776,41.35913301140063,4.957120954734242,4.647999999999999,0.33385026583784533,8.0,0.8944271909999159,4.79,0.68044103344816,,,,,,,,,,
threshold_search_ablation,clf,clf_toeplitz,histogram_32,100,1000,0.9,0.0,0.9,0.0,0.9,0.0,0.7696969696969698,0.10269305072435422,0.8396231633119303,0.043519076239513586,0.8276254719476711,0.048221162952326035,0.8030240723372533,0.059031547756360186,0.8936688333997154,0.1360076026686311,4.864,0.3415611219093882,7.8,0.7483314773547882,5.288,0.783846923831433,,,,,,,,,,
threshold_search_ablation,clf,clf_toeplitz,histogram_64,100,1000,0.9,0.0,0.9,0.0,0.9,0.0,0.7696969696969698,0.10269305072435422,0.8392239617151238,0.04297823442878671,0.8278274775749705,0.04851673034796887,0.800226053916264,0.055395831361862734,2.6745849229999292,0.47899181705908617,4.668000000000001,0.32938731001664273,8.0,0.6324555320336759,4.944,0.7093264410692725,,,,,,,,,,
threshold_search_ablation,clf,clf_toeplitz,histogram_128,100,1000,0.9,0.0,0.9,0.0,0.9,0.0,0.7696969696969698,0.10269305072435422,0.8396231633119303,0.043519076239513586,0.8276254719476711,0.048221162952326035,0.8030240723372533,0.059031547756360186,8.522673189800116,0.7701889433981394,4.612,0.371343506742746,7.6,0.48989794855663565,4.772,0.6899101390760973,,,,,,,,,,
threshold_search_ablation,clf,clf_toeplitz,histogram_256,100,1000,0.9,0.0,0.9,0.0,0.9,0.0,0.7696969696969698,0.10269305072435422,0.8392227593006757,0.04297661751120924,0.8270266695524615,0.04735443084958516,0.8016292715773273,0.05717960984325785,23.33954512459968,2.480677617541624,4.540000000000001,0.3369866466197138,7.4,0.4898979485566356,4.638000000000001,0.7030049786452441,,,,,,,,,,
threshold_search_ablation,clf,clf_toeplitz,histogram_512,100,1000,0.9,0.0,0.9,0.0,0.9,0.0,0.7696969696969698,0.10269305072435422,0.8392227593006757,0.04297661751120924,0.8270266695524615,0.04735443084958516,0.8016292715773273,0.05717960984325785,36.89663061000029,2.10003865477019,4.532,0.27924183067728225,8.0,0.8944271909999159,4.668,0.5998133042872591,,,,,,,,,,
threshold_search_ablation,clf,clf_toeplitz,histogram_all,100,1000,0.9,0.0,0.9,0.0,0.9,0.0,0.7696969696969698,0.10269305072435422,0.8392227593006757,0.04297661751120924,0.8270266695524615,0.04735443084958516,0.8016292715773273,0.05717960984325785,37.987458506199985,6.018348865412778,4.566,0.31359846938401964,7.8,0.7483314773547882,4.688000000000001,0.6375076470129595,,,,,,,,,,
threshold_search_ablation,clf,clf_toeplitz,rf,100,1000,0.9800000000000001,0.039999999999999994,0.9800000000000001,0.039999999999999994,0.9800000000000001,0.039999999999999994,0.795959595959596,0.12144758274900312,0.8428203833297261,0.04044017575277987,0.8310246975927663,0.04517388093130206,0.7990080080802251,0.055579137967304675,0.1357968502001313,0.004376944426332345,0.0,0.0,0.0,0.0,58.434000000000005,7.018047021786047,,,,,,,,,,
threshold_search_ablation,clf,clf_toeplitz,et,100,1000,0.9,0.06324555320336757,0.9,0.06324555320336757,0.9,0.06324555320336754,0.8202020202020203,0.12638781672417823,0.8416275881970998,0.04018483146449496,0.8330243128201429,0.043201471653344176,0.8000180362167233,0.05239700787357645,0.10238750200005597,0.002870382228276095,0.0,0.0,0.0,0.0,90.928,3.2851508336756776,,,,,,,,,,
