study,task,n,k,threshold_test,stopping,repeats,censored,timeout_seconds,seconds_per_fit,seconds_min,seconds_max,depth
synthetic_scaling,classification,16000,16,bonferroni,adaptive,3,False,1200.0,0.4605948509999962,0.4578822290000062,0.5220053529999973,8.0
synthetic_scaling,classification,16000,16,bonferroni,exhaustive,3,False,1200.0,0.7554724120000174,0.7537657399999489,0.8425234850000152,8.0
synthetic_scaling,classification,16000,16,bonferroni_fixed,adaptive,3,False,1200.0,0.4260158040000306,0.4152293889999896,0.4345040869999934,8.0
synthetic_scaling,classification,16000,16,bonferroni_fixed,exhaustive,3,False,1200.0,0.5443477190000294,0.54233268400003,0.5884564820000264,8.0
synthetic_scaling,classification,16000,16,maxt,adaptive,3,False,1200.0,0.3891431640000178,0.3665219030000344,0.4070488650000357,9.0
synthetic_scaling,classification,16000,16,maxt,exhaustive,3,False,1200.0,0.9001298929999848,0.8973651379999978,0.9076437310000074,8.0
synthetic_scaling,classification,16000,64,bonferroni,adaptive,3,False,1200.0,1.1597112679999668,1.1591356490000069,1.1658949989999885,7.0
synthetic_scaling,classification,16000,64,bonferroni,exhaustive,3,False,1200.0,4.164724267999986,4.092573560999995,4.176274316999979,7.0
synthetic_scaling,classification,16000,64,bonferroni_fixed,adaptive,3,False,1200.0,0.7719688470000392,0.7709896820000495,0.7736631299999317,8.0
synthetic_scaling,classification,16000,64,bonferroni_fixed,exhaustive,3,False,1200.0,0.8891143460000421,0.8847055659999796,0.8907495749999725,0.0
synthetic_scaling,classification,16000,64,maxt,adaptive,3,False,1200.0,0.5905135880000216,0.5427395359999991,0.5977805479999461,9.666666666666666
synthetic_scaling,classification,16000,64,maxt,exhaustive,3,False,1200.0,2.003987400000028,1.9978240460000052,2.03833988100007,8.0
synthetic_scaling,classification,16000,256,bonferroni,adaptive,3,False,1200.0,12.147560263999935,12.09156701500001,12.224453505000042,8.0
synthetic_scaling,classification,16000,256,bonferroni,exhaustive,3,False,1200.0,98.039992944,98.00896327200007,99.03650483299998,8.0
