task,dataset_source,dataset_type,variant,n_runs,n_success,mean_elapsed_seconds,median_elapsed_seconds,p25_elapsed_seconds,p75_elapsed_seconds,mean_elapsed_ratio_vs_default,median_elapsed_ratio_vs_default,mean_elapsed_speedup_vs_default,median_elapsed_speedup_vs_default,mean_depth,mean_max_depth,mean_features_used,mean_importance_nonzero_count,mean_precision_at_10,mean_recall_at_10,mean_f1_at_10,changes_statistical_rule
clf,synthetic,clf_confounder,cit_default,5,5,15.279296277599993,12.852160191999983,10.380081784000026,21.79708828699995,1.0,1.0,1.0,1.0,6.8,6.8,9.6,9.6,0.5599999999999999,0.5599999999999999,0.5599999999999999,False
clf,synthetic,clf_confounder,cit_exact_thresholds,5,5,22.426405508800002,13.045403621000048,11.18368549300004,37.12733350599996,1.377061165548438,1.3364038995620848,0.7724203028024886,0.7482767749538007,7.2,7.2,10.2,10.2,0.54,0.54,0.54,False
clf,synthetic,clf_confounder,cit_no_adaptive,5,5,4.278475090800003,2.8954437820000294,2.7503889779999895,3.0342543309999996,0.2752872474967013,0.27894228988283104,4.389988235210284,3.5849709286463782,8.8,8.8,13.4,13.4,0.33999999999999997,0.33999999999999997,0.34,False
clf,synthetic,clf_confounder,cit_no_bonferroni,5,5,0.18243729319999596,0.1929007969999929,0.1735051689999522,0.1935214850000193,0.01402847840533683,0.01501383960579262,83.97790445435916,66.60521400629466,10.4,10.4,30.4,30.4,0.24000000000000005,0.24000000000000005,0.24000000000000005,True
clf,synthetic,clf_confounder,cit_no_feature_mute,5,5,14.26274710040001,12.80121451399998,10.34389104600001,18.169446101000005,0.9550997428177027,0.9965134438482169,1.056788493226973,1.0034987547567036,6.8,6.8,9.6,9.6,0.5599999999999999,0.5599999999999999,0.5599999999999999,False
clf,synthetic,clf_confounder,cit_no_feature_scan,5,5,13.514926544599996,12.760104203000026,8.02783156999999,18.609170596999977,0.9063332408249721,0.9663895224282356,1.1842496952422512,1.0347794308523872,7.0,7.0,9.0,9.0,0.33999999999999997,0.33999999999999997,0.33999999999999997,False
clf,synthetic,clf_confounder,cit_no_threshold_scan,5,5,12.916112770400009,12.150621946,11.241977530999977,14.129081935000045,0.9833910416822531,1.170570926014196,1.2085510030787883,0.8542839889292385,11.2,11.2,12.0,12.0,0.45999999999999996,0.45999999999999996,0.45999999999999996,False
clf,synthetic,clf_nonlinear,cit_default,5,5,16.78531583299998,14.793566169999991,14.357950154999967,19.559227670000013,1.0,1.0,1.0,1.0,6.2,6.2,4.2,4.2,0.4,0.8,0.5333333333333333,False
clf,synthetic,clf_nonlinear,cit_exact_thresholds,5,5,19.919874143999998,21.045222751999972,18.86331538799999,21.19317859700004,1.206623052431111,1.1732267782330081,0.8466967831621736,0.8523501326027486,6.2,6.2,4.2,4.2,0.4,0.8,0.5333333333333333,False
clf,synthetic,clf_nonlinear,cit_no_adaptive,5,5,3.9238422209999952,2.696024211000008,2.2460614510000028,2.9132695999999783,0.226864151146346,0.18224302240708534,5.732029911129444,5.4871785311277925,8.2,8.2,4.0,4.0,0.4,0.8,0.5333333333333333,False
