study,dataset,task,kind,design_family,n_samples,n_features,n_informative,informative_fraction,method,n_fit_seeds,n_estimators_per_fit,total_trees,mean_total_splits_per_fit,mean_true_split_events_per_fit,mean_noise_split_events_per_fit,informative_split_share,distinct_false_features_used,max_false_tree_use_count,mean_false_tree_use_count,true_split_counts,true_tree_use_counts,sweep_n_estimators
ensemble_split_counts,make_classification_n250_p100_i1,classification,easy_shuffled_classification,vary_dimension_fixed_signal,250,100,1,0.01,cif,5,500,2500,190.2,67.2,123.0,0.35331230283911674,50,75,6.212121212121212,336,336,500
ensemble_split_counts,make_classification_n250_p100_i1,classification,easy_shuffled_classification,vary_dimension_fixed_signal,250,100,1,0.01,cif_all,5,500,2500,500.0,500.0,0.0,1.0,0,0,0.0,2500,2500,500
ensemble_split_counts,make_classification_n250_p100_i1,classification,easy_shuffled_classification,vary_dimension_fixed_signal,250,100,1,0.01,et,5,500,2500,29593.8,2038.4,27555.4,0.06887929228419466,99,1227,1029.4949494949494,10192,2494,500
ensemble_split_counts,make_classification_n250_p100_i1,classification,easy_shuffled_classification,vary_dimension_fixed_signal,250,100,1,0.01,rf,5,500,2500,10803.0,842.6,9960.4,0.0779968527260946,99,596,446.75757575757575,4213,2322,500
ensemble_split_counts,make_classification_n250_p100_i10,classification,easy_shuffled_classification,vary_dimension_fixed_signal,250,100,10,0.1,cif,5,500,2500,673.8,515.2,158.6,0.7646185811813595,61,55,8.811111111111112,"123,407,380,45,419,392,283,55,462,10","123,402,380,40,414,392,273,55,447,10",500
ensemble_split_counts,make_classification_n250_p100_i10,classification,easy_shuffled_classification,vary_dimension_fixed_signal,250,100,10,0.1,cif_all,5,500,2500,2618.6,2344.2,274.4,0.8952111815473918,76,195,15.244444444444444,"601,1732,597,360,2284,1906,1687,60,2229,265","591,1557,567,360,2094,1786,1593,60,2107,265",500
ensemble_split_counts,make_classification_n250_p100_i10,classification,easy_shuffled_classification,vary_dimension_fixed_signal,250,100,10,0.1,et,5,500,2500,37333.0,7104.2,30228.8,0.1902927704711649,90,1465,1220.7666666666667,"2540,4457,3610,2335,4951,4515,3964,2369,5042,1738","1604,2165,1978,1516,2239,2170,2061,1544,2258,1273",500
ensemble_split_counts,make_classification_n250_p100_i10,classification,easy_shuffled_classification,vary_dimension_fixed_signal,250,100,10,0.1,rf,5,500,2500,12943.0,3040.0,9903.0,0.23487599474619486,90,710,494.34444444444443,"1036,1846,1576,910,2298,2060,1863,869,2186,556","864,1450,1277,800,1708,1598,1456,743,1664,493",500
ensemble_split_counts,make_classification_n250_p100_i2,classification,easy_shuffled_classification,vary_dimension_fixed_signal,250,100,2,0.02,cif,5,500,2500,195.8,71.4,124.4,0.36465781409601633,49,54,6.346938775510204,"0,357","0,352",500
ensemble_split_counts,make_classification_n250_p100_i2,classification,easy_shuffled_classification,vary_dimension_fixed_signal,250,100,2,0.02,cif_all,5,500,2500,500.0,500.0,0.0,1.0,0,0,0.0,"0,2500","0,2500",500
