study,task,n,k,threshold_test,stopping,nominal_alpha,effect,step_quantile,replicates,split_rate,ci_low,ci_high,seconds_per_fit
stageb_only,classification,200,16,bonferroni_unadjusted,adaptive,0.2,0.0,0.5,500,0.434,0.3905565657342792,0.4774434342657208,0.001050590876
stageb_only,classification,200,16,bonferroni_unadjusted,adaptive,0.2,0.05,0.5,200,0.585,0.5167122104618987,0.6532877895381012,0.0010022776549999
stageb_only,classification,200,16,bonferroni_unadjusted,adaptive,0.2,0.1,0.5,200,0.89,0.8466356920959184,0.9333643079040816,0.001068623265
stageb_only,classification,200,16,bonferroni_unadjusted,adaptive,0.2,0.2,0.5,200,1.0,1.0,1.0,0.0010700104049999
stageb_only,classification,200,16,bonferroni_unadjusted,adaptive,0.35,0.0,0.5,500,0.498,0.4541734182578654,0.5418265817421345,0.000959353296
stageb_only,classification,200,16,bonferroni_unadjusted,adaptive,0.35,0.05,0.5,200,0.61,0.5424013077049563,0.6775986922950437,0.0009624668649999
stageb_only,classification,200,16,bonferroni_unadjusted,adaptive,0.35,0.1,0.5,200,0.9,0.8584221212662311,0.941577878733769,0.0010303866649999
stageb_only,classification,200,16,bonferroni_unadjusted,adaptive,0.35,0.2,0.5,200,1.0,1.0,1.0,0.00105244235
stageb_only,classification,200,16,bonferroni_unadjusted,adaptive,0.5,0.0,0.5,500,0.524,0.4802235853820805,0.5677764146179196,0.000920959932
stageb_only,classification,200,16,bonferroni_unadjusted,adaptive,0.5,0.05,0.5,200,0.615,0.5475613300842906,0.6824386699157093,0.000944704395
stageb_only,classification,200,16,bonferroni_unadjusted,adaptive,0.5,0.1,0.5,200,0.905,0.864362482851434,0.945637517148566,0.0010175628049999
stageb_only,classification,200,16,bonferroni_unadjusted,adaptive,0.5,0.2,0.5,200,1.0,1.0,1.0,0.001042122805
stageb_only,classification,200,16,bonferroni_unadjusted,exhaustive,0.02,0.0,0.5,500,0.09,0.0649150626869429,0.115084937313057,0.0018281263079999
stageb_only,classification,200,16,bonferroni_unadjusted,exhaustive,0.02,0.05,0.5,200,0.225,0.1671260421260131,0.2828739578739868,0.0018007961
stageb_only,classification,200,16,bonferroni_unadjusted,exhaustive,0.02,0.1,0.5,200,0.665,0.5995854588031071,0.730414541196893,0.0016565514599999
stageb_only,classification,200,16,bonferroni_unadjusted,exhaustive,0.02,0.2,0.5,200,1.0,1.0,1.0,0.00127582677
stageb_only,classification,200,16,bonferroni_unadjusted,exhaustive,0.05,0.0,0.5,500,0.152,0.1205304314106469,0.1834695685893531,0.003134181726
stageb_only,classification,200,16,bonferroni_unadjusted,exhaustive,0.05,0.05,0.5,200,0.31,0.2459017067309901,0.3740982932690099,0.002849997865
stageb_only,classification,200,16,bonferroni_unadjusted,exhaustive,0.05,0.1,0.5,200,0.75,0.6899875013018122,0.8100124986981878,0.00215785832
stageb_only,classification,200,16,bonferroni_unadjusted,exhaustive,0.05,0.2,0.5,200,1.0,1.0,1.0,0.0013718563799999
stageb_only,classification,200,16,bonferroni_unadjusted,exhaustive,0.1,0.0,0.5,500,0.256,0.2177459413290563,0.2942540586709437,0.0015140632179999
stageb_only,classification,200,16,bonferroni_unadjusted,exhaustive,0.1,0.05,0.5,200,0.38,0.3127288709772164,0.4472711290227836,0.0014872268999999
stageb_only,classification,200,16,bonferroni_unadjusted,exhaustive,0.1,0.1,0.5,200,0.815,0.7611847029182222,0.8688152970817777,0.0013229158199999
stageb_only,classification,200,16,bonferroni_unadjusted,exhaustive,0.1,0.2,0.5,200,1.0,1.0,1.0,0.0011345992149999
stageb_only,classification,200,16,bonferroni_unadjusted,exhaustive,0.2,0.0,0.5,500,0.434,0.3905565657342792,0.4774434342657208,0.001036050364
stageb_only,classification,200,16,bonferroni_unadjusted,exhaustive,0.2,0.05,0.5,200,0.585,0.5167122104618987,0.6532877895381012,0.0009970975999999
stageb_only,classification,200,16,bonferroni_unadjusted,exhaustive,0.2,0.1,0.5,200,0.89,0.8466356920959184,0.9333643079040816,0.00105685377
stageb_only,classification,200,16,bonferroni_unadjusted,exhaustive,0.2,0.2,0.5,200,1.0,1.0,1.0,0.001056068255
stageb_only,classification,200,16,bonferroni_unadjusted,exhaustive,0.35,0.0,0.5,500,0.498,0.4541734182578654,0.5418265817421345,0.0009494147519999
stageb_only,classification,200,16,bonferroni_unadjusted,exhaustive,0.35,0.05,0.5,200,0.61,0.5424013077049563,0.6775986922950437,0.0009561864749998
stageb_only,classification,200,16,bonferroni_unadjusted,exhaustive,0.35,0.1,0.5,200,0.9,0.8584221212662311,0.941577878733769,0.0010212173949999
